sourcenotation;targetnotation
000;54
002;06.20
003;54.50
003;54.54
003;54.72
003;54.74
004;54
005;54.50
005;54.51
005;54.52
005;54.53
006;54.72
006;54.73
006;54.74
006;54.75
006;54.76
010;01.10
010;01.11
010;01.14
010;01.18
011;01.11
012;01.11
014;01.11
015;01.11
016;01.11
017;06.24
017;06.25
018;06.80
020;06
021;06.00
022;06.50
022;06.51
023;06.50
025;06.50
025;06.51
025;06.53
025;06.54
025;06.70
025;06.74
026;06.43
026;06.38
027;06.29
027;06.90
028;06.60
030;01.22
031;01.22
032;01.22
033;01.22
034;01.22
035;01.22
036;01.22
037;01.22
038;01.22
039;01.22
050;01.40
051;01.40
052;01.40
053;01.40
054;01.40
055;01.40
056;01.40
057;01.40
058;01.40
059;01.40
060;02.14
060;02.30
061;02.14
062;02.14
063;02.14
064;02.14
065;02.14
066;02.14
067;02.14
068;02.14
069;02.30
070;05.30
070;05.33
070;06.25
070;81.65
071;05.30
072;05.30
073;05.30
074;05.30
075;05.30
076;05.30
077;05.30
078;05.30
079;05.30
080;01.40
081;01.40
082;01.40
083;01.40
084;01.40
085;01.40
086;01.40
087;01.40
088;01.40
089;01.40
090;06.10
091;06.10
092;06.20
093;06.20
094;06.20
094;06.23
095;06.23
096;06.19
096;06.22
097;06.20
098;06.20
098;06.29
099;06.22
100;08
100;77.00
100;77.03
101;08.03
102;08.99
103;08.00
105;08.00
106;08.03
107;08.07
108;08.00
109;08.20
110;08.31
111;08.31
113;39.30
114;08.31
115;08.31
116;08.31
117;08.31
118;08.31
119;08.31
120;08.32
121;08.32
122;02.02
122;08.32
123;08.32
124;11.00
126;08.36
126;08.37
127;08.36
127;11.99
128;08.37
129;08.37
130;02.50
130;08.47
130;77.92
131;77.92
131;08.47
133;77.92
133;08.47
135;02.50
137;77.92
138;77.92
138;02.50
139;77.92
139;08.36
140;08.21
140;08.22
140;08.23
140;08.24
140;08.25
141;08.03
142;08.00
143;08.03
144;08.03
145;08.00
146;08.00
147;08.00
148;08.00
149;08.00
149;08.03
150;77.00
152;77.40
152;77.45
152;77.46
152;77.47
153;77.31
154;77.40
155;77.53
156;77.51
158;77.93
160;08.33
161;08.33
162;08.33
166;08.33
167;08.33
168;08.33
169;08.33
170;08.38
171;08.38
172;08.45
173;08.38
174;08.38
174;83.02
175;08.38
176;42.02
176;44.02
177;83.02
178;83.02
179;08.38
180;08.10
181;08.10
182;08.21
183;08.21
184;08.22
185;08.21
186;08.21
187;08.21
188;08.21
189;08.22
190;08.24
191;08.24
192;08.24
193;08.24
194;08.24
195;08.24
196;08.24
197;08.24
198;08.24
199;08.24
200;11.00
201;11.01
202;11.77
203;11.00
204;11.05
205;11.62
206;11.04
206;11.05
206;11.76
207;11.05
208;11.00
209;11.97
210;08.37
211;11.00
211;11.05
212;11.99
213;11.99
214;11.99
215;11.05
215;11.99
215;11.09
218;11.09
220;11.30
221;11.38
222;11.31
222;11.36
223;11.31
225;11.44
226;11.55
227;11.55
228;11.37
229;11.37
230;11.51
230;11.52
230;11.53
230;11.57
231;11.61
232;11.61
233;11.61
234;11.61
235;11.61
236;11.61
239;11.61
240;11.61
241;11.61
242;11.63
243;11.70
246;20.27
246;11.99
247;11.99
250;11.72
250;11.73
251;11.75
252;11.77
252;11.78
253;11.79
254;11.73
255;11.72
259;11.71
260;11.72
260;11.73
261;11.05
261;11.07
262;11.73
263;11.72
263;11.73
264;11.74
266;11.78
267;11.97
268;11.77
268;11.97
269;11.76
270;11.50
271;11.50
272;11.50
273;11.50
274;11.50
275;11.50
276;11.50
277;11.50
278;11.50
279;11.50
280;11.61
281;11.99
282;11.99
283;11.99
284;11.99
285;11.99
286;11.99
287;11.99
289;11.97
290;11.98
292;11.15
292;11.16
292;11.17
293;11.19
294;11.90
295;11.14
296;11.20
297;11.80
299;11.98
300;70
301;70
301;71
301;73
302;77.63
303;71.12
304;71.13
304;73.42
304;73.45
306;02.14
306;02.99
307;71.44
310;70.03
310;74.13
310;74.28
310;74.80
314;74.19
315;74.21
316;74.23
317;74.25
318;74.26
319;74.27
320;89.00
321;89.30
321;89.32
322;89.41
322;89.49
323;86.45
323;86.85
324;89.50
325;89.91
325;89.94
327;89.70
328;89.51
330;83.00
330;85.00
331;85.50
332;83.52
333;83.65
333;83.66
334;83.05
335;83.05
336;83.52
337;83.40
338;83.67
339;83.12
340;86.00
341;86.84
342;86.44
343;86.63
344;86.74
345;86.33
346;86.18
347;86.30
347;86.95
348;86.00
349;86.10
350;89.80
350;88.10
351;88.10
352;88.10
353;88.11
353;88.12
353;88.13
353;88.14
353;88.17
353;88.19
354;88.14
355;89.80
356;89.81
356;89.82
356;89.83
357;89.90
358;89.81
359;89.81
359;89.83
360;71.60
361;71.60
362;71.60
363;71.60
363;71.61
363;71.63
363;71.64
363;71.66
363;71.67
364;71.65
365;86.37
365;88.14
366;89.86
366;89.63
367;89.63
368;71.85
370;81.00
371;81.40
372;81.74
373;81.75
373;81.76
373;81.77
374;79.63
375;81.62
378;81.80
379;81.19
380;83.71
380;55.80
380;05.00
381;83.71
382;83.40
383;05.99
384;05.42
385;55.85
386;55.86
387;55.86
387;55.88
388;55.84
389;50.07
390;73.91
391;73.86
391;73.22
392;73.92
393;73.57
394;73.91
398;73.00
399;73.99
400;17.00
401;08.34
