sourcenotation;targetnotation
540;35
540.1;35.02
540.6;35.04
540.7;35.04
540.8;35.01
540.9;35.01
541;35.10
541.0285;35.06
541.04;35.22
541.0421;35.90
541.2;35.11
541.2242;35.43
541.26;35.05
541.3;35.10
541.33;35.18
541.34;35.21
541.345;35.18
541.35;35.16
541.36;35.12
541.363;33.64
541.37;35.14
541.3723;35.19
541.378;35.20
541.38;35.15
541.39;35.13
541.395;35.17
541.7;35.11
542;35.07
542.85;35.06
543;35.23
543.002;35.39
543.00727;35.05
543.081;35.30
543.082;35.24
543.083;35.24
543.085;35.25
543.086;35.24
543.087;35.27
543.0873;35.26
543.0877;35.25
543.088;35.28
543.089;35.29
544;35.24
544.002;35.39
544.6;35.25
544.8;35.30
544.92;35.29
544.95;35.25
544.97;35.27
544.98;35.28
545;35.24
545.002;35.39
545.3;35.27
545.81;35.25
545.82;35.28
545.83;35.25
545.84;35.30
545.89;35.29
546;35.40
546.2;35.48
546.3;35.45
546.38;35.44
546.39;35.44
546.4;35.45
546.5;35.45
546.6;35.45
546.71;35.48
546.72;35.47
546.73;35.46
546.75;35.48
547;35.50
547;35.61
547.05;35.60
547.1223;35.51
547.1393;35.51
547.2;35.52
547.28;35.80
547.3;35.33
547.4;35.55
547.5;35.57
547.59;35.59
547.6;35.57
547.7;35.80
547.71;35.66
547.72;35.66
547.73;35.66
547.734;35.74
547.74;35.74
547.75;35.62
547.758;35.74
547.77;35.78
547.78;35.63
547.79;35.65
547.8;35.68
547.82;58.21
547.83;58.21
547.84;35.80
548;38.31
549;38.30
