sourcenotation;targetnotation
320;89
320.014;89.56
320.019;89.52
320.09;89.01
320.1;89.31
320.101;89.31
320.1011;89.31
320.11;89.32
320.12;89.31
320.15;89.31
320.3;89.3
320.4;89.3
320.404;89.3
320.4049;89.3
320.409;89.3
320.5;89.1
320.51;89.12
320.512;89.12
320.513;89.12
320.52;89.11
320.531;89.14
320.5312;89.14
320.5315;89.14
320.532;89.15
320.5322;89.15
320.5323;89.15
320.5323094;89.15
320.532309497;89.15
320.53230951;89.15
320.5323097291;89.15
320.533;89.21
320.54;89.22
320.54095694;89.29
320.549;89.22
320.55;89.29
320.56;89.29
320.57;89.2
320.6;89.5
320.8;88.13
320.84;88.12
320.85;88.13
320.854;88.13
320.859;88.13
321.009;89.3
321.00902;89.32
321.0093;89.32
321.01;89.32
321.02;89.41
321.02;89.37
321.03;89.37
321.04;89.91
321.05;89.71
321.06;89.22
321.07;89.39
321.08;89.32
321.1;89.3
321.1;89.5
321.3;89.32
321.5;89.32
321.6;89.32
321.8;89.33
321.804;89.35
321.8042;89.35
321.8043;89.35
321.86;89.35
321.87;89.34
321.9;89.33
321.92;89.36
321.94;89.36
322.1;89.6
322.2;89.41
322.4;89.63
322.42;89.63
322.43;89.63
322.44;89.63
323.04;89.42
323.042;89.42
323.044;89.42
323.08;89.42
323.11;89.41
323.32;89.41
323.34;89.41
323.35;89.41
323.352;89.41
323.353;89.41
323.354;89.41
323.42;89.42
323.43;89.42
323.44;89.42
323.442;89.42
323.443;89.42
323.445;89.42
323.448;89.42
323.4482;89.42
323.4483;89.42
323.46;89.42
323.47;89.42
323.48;89.42
323.49;89.42
323.4908;89.42
323.508;89.42
323.60715;89.42
323.62;89.42
323.622;89.42
323.623;89.42
323.629;89.42
323.63;89.42
323.631;89.42
323.632;89.42
323.634;89.42
323.636;89.42
323.64;89.42
323.65;89.42
323.67;89.42
324.09;89.5
324.1;89.5
324.13;89.61
324.13;89.74
324.14;89.61
324.14;89.74
324.15;89.74
324.15;89.61
324.16;89.61
324.16;89.74
324.16;89.29
324.17;89.61
324.17;89.74
324.17;89.12
324.172;89.61
324.172;89.74
324.174;89.61
324.174;89.74
324.174;89.14
324.175;89.61
324.175;89.74
324.18;89.61
324.18;89.15
324.18;89.74
324.204;89.61
324.209;89.61
324.212;89.61
324.213;89.61
324.2138;89.61
324.2138;89.29
324.214;89.61
324.214;89.21
324.215;89.61
324.216;89.61
324.216;89.29
324.217;89.61
324.217;89.12
