fromNotation;toNotation
200;AA
202;AA
208;AA
306.6;AA
147;AB
148;AB
149;AB
210;AB
211;AB
213;AB
215;AB
200862;AD
206.1;AD
206.3;AD
206.5;AD
306.6;AD
320.55;AD
205695;AE
205698;AE
205699;AE
200.19;AE
204.2;AE
205.68;AE
205.69;AE
210.19;AE
200.9;AF
203;AG
204;AG
201.3092;AG
201.3;AG
201.43;AG
201.44;AG
204.2;AG
204.3;AG
204.4;AG
208.3;AG
207.5;AH
201.5;AX
294.33;AX
209;AZ
209;AZ
299933;AZ
299933;AZ
299934;AZ
299934;AZ
299935;AZ
299935;AZ
299936;AZ
133.9;AZ
133.9 ;AZ
208.5;AZ
208.5 ;AZ
299.94;AZ
299591;BB
299595;BB
299783;BB
299784;BB
299882;BB
299884;BB
299889;BB
299.7826;BB
299.7842;BB
299.7852;BB
299.7855;BB
299.8837;BB
299.8837;BB
299.8838;BB
299.8838;BB
299.8839;BB
299.8839;BB
299.68884;BB
299.68889;BB
299.78458;BB
299.688839;BB
299.784542;BB
299.784576;BB
299.7840211;BB
299.7845529;BB
299.8830213;BB
299.7 ;BB
299.71 ;BB
299.79 ;BB
299.8 ;BB
299.81 ;BB
299.89;BB
295;BC
299.21;BC
299.26;BC
299.31;BC
293;BD
299.9294;BD
299.16;BD
292;BE
292211;BE
292.3509381;BE
292.07 ;BE
292.13 ;BE
299.15 ;BE
299932;BF
290;BG
296;BH
297;BJ
908.8297;BJ
908.82945;BK
908.82946;BK
294.5;BK
294.6;BK
294.3;BL
294.4;BL
299.54;BL
299511;BM
299512;BM
299514;BM
299.51;BM
299.57;BM
299561;BN
299.56;BN
299.78452;BR
299591;BS
299595;BS
299681;BS
299685;BS
299.68332;BS
299.68333;BS
299.68887;BS
299.683385;BS
299.683931;BS
299.683986;BS
299.6897294;BS
299.69 ;BS
299924;BT
299925;BT
299.9215;BT
299.9222;BT
230;CA
242;CB
243;CB
248;CB
249;CB
261.2;CC
201.76369;CD
292.07;CD
292.08;CD
700.4823;CE
T3C--3823;CE
215;CF
231765;CF
230.07;CF
220832;CG
241.62;CG
261.1;CH
261.8;CH
230;FA
230007;FB
230.07;FB
202082;FD
230082;FD
230089;FD
230.0464;FD
202.08996;FD
230.09;FD
220;HA
221;HB
222;HB
223;HB
224;HB
229.91;HB
225;HC
226;HC
227;HC
228;HC
229.92;HC
229.93;HC
229.94;HC
296.09014;HD
296.09015;HD
229.91;HD
296.12;HD
296.14;HD
933;HH
220863;HH
220.86431;HH
220.9;HH
270;KAA
281.1;KAB
281.2;KAB
281.3;KAB
270.2;KAC
270.3;KAC
