fromNotation;sourcepreflabel;toNotation;targetpreflabel
020;Bibliotheks- und Informationswissenschaften;AN 65800;Bibliothekswissenschaft
020;Bibliotheks- und Informationswissenschaften;AN 90000 - AN 99990;Informationswissenschaft
202.854678;Internet-Bibliotheken;AN 67300;Bibliotheksarten nach der Art der Benutzung
020.601;Internationale Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.603-020.609;Nationale, gliedstaatliche, lokale Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.62;Dauerhafte Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.621;Internationale Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.622;Nationale Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.623;Organisationen auf regionaler und gliedstaatlicher Ebene;AN 53000;Organisationsformen, Körperschaften: Allgemeines
206.232;Regionalorganisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
206.234;Organisationen auf gliedstaatlicher Ebene;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.624;Lokale Organisationen;AN 53000;Organisationsformen, Körperschaften: Allgemeines
020.68;Management;AN 70000;Bibliotheksverwaltung: Allgemeines
020.682;Anlagenmanagement;AN 70600;Bibliothekshaushalt, Etat
020.683;Personalmanagement (Human Resource Management);AN 70800;Stellenpläne, Personalverwaltung
020.7;Ausbildung, Forschung, verwandte Themen;AN 54500;Nachwuchsfragen, Berufsausbildung, Prüfungen
020.7;Ausbildung, Forschung, verwandte Themen;AN 91500;Ausbildung 
020.7;Ausbildung, Forschung, verwandte Themen;AN 65900;Bibliotheksforschung 
020.7;Ausbildung, Forschung, verwandte Themen;AN 91800;Forschung
020.7;Ausbildung, Forschung, verwandte Themen;AN 54500;Nachwuchsfüragen, Berufsausbildung, Prüfungen, Spezialisierung
207.155;Ausbildung am Arbeitsplatz;AN 54600;Weiterbildung
207.155;Ausbildung am Arbeitsplatz;AN 91500;Ausbildung
020.72;Bibliotheksforschung;AN 65900;Bibliotheksforschung
208.827;Christliche Bibliothekare;AN 55000;Bibliothekar an wissenschaftlichen Bibliotheken
208.827;Christliche Bibliothekare;AN 55600;Bibliothekar an öffentlichen Bibliotheken
208.827;Christliche Bibliothekare;AN 69000;Kirchliche Bibliotheken
020.9;Historische, geografische, personenbezogene Behandlung 0020.92 Archivare;AN 15200;Buchmuseen, Archive, Sammlungen
020.973;Informationswissenschaft-USA,...;AN 99000;Information und Dokumentation in einzelnen Ländern
021;Beziehungen zwischen Bibliotheken, Archiven, Informationszentren;AN 66000 - AN 66900;Beziehungen, Ausstrahlungen, Einwirkungen
021.2;Bibliothek und Gemeinde;AN 66000;Bibliothek und Gesellschaft
021.24;Rolle im Bildungswesen;AN 66500;Bibliothek, Schule und Erziehung
021.24;Rolle im Bildungswesen;AN 66900;Bibliothek, Bildung und Unterhaltung
021.26;Rolle für das kulturelle Leben;AN 66800;Bibliothek und Kultur
021.28;Rolle als Informationseinrichtung;AN 65200;Aufgabe, Struktur
021.3;Beziehungen zu anderen Bildungseinrichtungen;AN 66500;Bibliothek, Schule und Erziehung 
021.6;Kooperation und Netzwerke;AN 91300;Informationsnetze, Informationsverbund
021.64;Kooperation;AN 91300;Informationsnetze, Informationsverbund 
