fromNotation;sourcepreflabel;toNotation;targetpreflabel
170;Ethik (Moralphilosophie);CC 7000 - CC 7267 ;Ethik
170;Ethik (Moralphilosophie);BK 1540 - BK 1550 ;Moralphilosophie/Philosophische Ethik)
170.4;Spezielle Themen der Ethik;BK 2500 - BK 8300 ;Spezielle Moraltheologie/Spezielle Ethik
170.42;Metaethik;BK 1570;Metaethik
170.44;Normative Ethik;CC 7240;Analytische Ethik und Axiologie
170.44;Normative Ethik;CC 7250;Wertphilosophie, Sinnfrage
170.[4408];Geschichte und Darstellung im Hinblick auf Personengruppen;CC 7000 ;Geschichte der Ethik
171;Ethische Systeme;CP;Psychomotorik, Handeln, Leistung (human performance)
171.1;Auf Autorität beruhende Systeme;CC 7220;Freiheit, Wille
171.1;Auf Autorität beruhende Systeme;CC 7700;Gesellschaftsphilosophie
171.1;Auf Autorität beruhende Systeme;CC 7250;Wertphilosophie, Sinnfrage
171.2;Auf Intuition, moralischem Sinn, Vernunft beruhende Systeme;BF 1550;Existenzphilosophie, Existenzialismus
171.2;Auf Intuition, moralischem Sinn, Vernunft beruhende Systeme;CC 7240;Analytische Ethik und Axiologie
171.3;Perfektionismus;CC;Systematische Philosophie
171.4;Hedonismus;CC 7250;Wertphilosophie, Sinnfrage
171.4;Hedonismus;CP 3000;Motivation und Gefühl
171.5;Konsequentialismus und Utilitarismus;MC 6300;Liberalismus und Utilitarismus
171.5;Konsequentialismus und Utilitarismus;BF 1470;Ethik (Praktische Philosophie und Wertphilosophie) 
171.5;Konsequentialismus und Utilitarismus;BK 2015;Sittliche Erkenntnis (das Gute, der Wert)
171.5;Konsequentialismus und Utilitarismus;BL 3060;Sozialethik
171.5;Konsequentialismus und Utilitarismus;CC 7700;Gesellschaftsphilosophie
171.6;Auf Gewissen beruhende Systeme;BK 2020;Gewissen, Gewissensbildung, Gewissensfreiheit
171.6;Auf Gewissen beruhende Systeme;BK 2100;Das sittliche Objekt (Materie), Kasuistik, Situationsethik
171.6;Auf Gewissen beruhende Systeme;AK 24400;Ethik, Wissenschaft und Gewissen 
171.6;Auf Gewissen beruhende Systeme;BK 2025;Gewissenszweifel, Klugheitsregeln, Moralsysteme
171.6;Auf Gewissen beruhende Systeme;BR 4132;Gewissensfreiheit
171.6;Auf Gewissen beruhende Systeme;BU 5500;Gewissensbildung und sittliche Erziehung
171.6;Auf Gewissen beruhende Systeme;PI 3580;Sittlichkeit, Ethik, Moral, Gewissen
171.6;Auf Gewissen beruhende Systeme;PL 407;Art. 4 GG: Glaubens-, Gewissens- und Bekenntnisfreiheit
171.7;Auf Biologie, Genetik, Evolution, Erziehung, sozialen Faktoren beruhende Systeme;BK 2100 ;Das sittliche Objekt (Materie), Kasuistik, Situationsethik
171.7;Auf Biologie, Genetik, Evolution, Erziehung, sozialen Faktoren beruhende Systeme;CC 7240;Analytische Ethik und Axiologie
171.7;Auf Biologie, Genetik, Evolution, Erziehung, sozialen Faktoren beruhende Systeme;PI 3580 ;Sittlichkeit, Ethik, Moral, Gewissen
171.7;Auf Biologie, Genetik, Evolution, Erziehung, sozialen Faktoren beruhende Systeme;CC 7264;Bio- und Medizinethik
171.7;Auf Biologie, Genetik, Evolution, Erziehung, sozialen Faktoren beruhende Systeme;CC 7910;Marxismus, Marxismus-Leninismus, Kommunismus, Neomarxismus
171.8;Auf Altruismus beruhende Systeme; CC 7250 ;Wertphilosophie, Sinnfrage
171.8;Auf Altruismus beruhende Systeme;BF 8200;Ethik (Praktische Philosophie-Wertphilosophie)
171.8;Auf Altruismus beruhende Systeme;BK 4000;Nächstenliebe, Selbstliebe (Ich-Du-Wir)
171.8;Auf Altruismus beruhende Systeme;MR 7200;Werte und Wertsystem, Symbol und Moral
171.8;Auf Altruismus beruhende Systeme;BK 2110;Das handelnde Subjekt (Akt, Handlung, Gesinnung, Gewohnheit, Motiv, Verhaltensforschung)
171.9;Auf Egoismus beruhende Systeme; CC 7250 ;Wertphilosophie, Sinnfrage
171.9;Auf Egoismus beruhende Systeme;CR 7000;Besondere Persönlichkeitsmerkmale und Eigenschaften
171.9;Auf Egoismus beruhende Systeme;BF 8200; (Praktische Philosophie-Wertphilosophie)
171.9;Auf Egoismus beruhende Systeme;BK 4000;Nächstenliebe, Selbstliebe (Ich-Du-Wir)
171.9;Auf Egoismus beruhende Systeme;MR 7200;Werte und Wertsystem, Symbol und Moral
171.9;Auf Egoismus beruhende Systeme;BK 2110;Das handelnde Subjekt (Akt, Handlung, Gesinnung, Gewohnheit, Motiv, Verhaltensforschung)
172;Politische Ethik;CC 7300 - 7950;Rechts-, Staat-, und Gesellschaftsphilosophie
172;Politische Ethik;MD 6300;Politisches Handeln, Ethik und Politik, politische Verantwortung 
