fromNotation;toNotation
511.3;SK 110
511.6;SK 170
512.2;SK 260
512.3;SK 230
512.4;SK 230
512.482;SK 340
512.6;SK 230
512.7;SK 180
514.2;SK 300
514.34;SK 350
514.72;SK 350
515.24;SK 470
515.2433;SK 450
515.352;SK 520
515.353;SK 540
515.39;SK 810
515.642;SK 880
515.72;SK 620
515.73;SK 600
515.75;SK 640
515.75;SK 600
515.75;SK 620
515.78;SK 600
516.02;SK 380
516.07;SK 350
516.32;SK 380
516.33;SK 380
516.34;SK 380
516.35;SK 240
516.36;SK 370
516.37;SK 370
519.23;SK 820
519.55;SK 845
519.62;SK 870
519.62;SK 880
519.64;SK 890
519.72;SK 870
519.76;SK 870
519.77;SK 890
