fromNotation;toNotation
610;WW - YV
610.1;CC 7264
610.1;XC 2600 - XC 2628
610.1;CC 3700
610.14;VR 5030
610.14;XB 1400
610.153;XC 3800 - XC 3899
610.153;XB 6100 - XB 6199
610.153;UN 7900
610.28;WC 3100
610.28;XB 2390
610.28;XC 4000 - XC 4099
610.28;YI 3200 - YI 3299
610.28;ZM 7070
610.28;VE 8000 - VE 8009
610.28;ST 640
610.284;ZM 7070
610.284;VE 8000 - VE 8009
610.284;VS 9600 - VS 9609
610.284;WC 3100
610.284;XB 2395
610.284;XC 4000 - XC 4099
610.284;YI 3200 - YI 3299
610.3;XB 0990 - XB 1999
610.3;XB 1400
610.6;QX 700 - QX 795
610.6;XB 1800 - XB 1899
610.6;XB 2000 - XB 6399
610.6;XC 2800 - XC 2899
610.6;XC 5000 - XC 5099
610.6;XC 5700 - XC 5799
610.6;MS 6050
610.6;XC 5200 - XC 5299
610.65;MS 6050
610.65;XC 5700 - XC 5799
610.69;XC 5900 - XC 5928
610.69;XC 9000 - XC 9099
610.69;XC 2800 - XC 2899
610.69;QX 700 - QX 795
610.69;FX 012200
610.69;XF 1200
610.695;XC 9000 - XC 9099
610.695;FX 012200
610.695;XF 1200
610.695;MS 6100
610.695;XC 2200 - XC 2299
610.696;MS 6050
610.696;CV 3500
610.696;XC 5000 - XC 5099
610.696;XC 2800 - XC 2899
610.696;MS 6100
610.7;XF 1300 - XF 1399
610.7;XF 1210 - XF 1277
610.7;XB 4600 - XB 4699
610.7;XC 5900 - XC 5928
610.711;XF 1300 - XF 1399
610.711;XF 1200
610.711;MS 6150
610.711;AL 30500
610.7113;XF 1200
610.7113;AL 90000
610.72;XF 1277
610.72;XF 3300 - XF 3899
610.72;XC 5200 - XC 5299
610.72;XC 2812
610.72;XB 1900 - XB 1999
610.72;QH 252
610.724;SK 850
610.724;CC 7260 - CC 7266
610.724;SK 950
610.724;XB 1900 - XB 1999
610.724;XE 2820
610.724;XC 2000 - XC 2099
610.724;YI 1900 - YI 1999
610.73;XB 3516
610.73;XB 4600 - XB 4699
610.73;XC 5016
610.73;XF 1300
610.73;DS 7250
610.73;QX 730
610.73;XC 5900 - XC 5928
610.7306;QX 700
610.7306;XC 5900 - XC 5928
610.7306;XC 5000 - XC 5099
610.73068;XC 5300 - XC 5699
610.73069;QX 730
610.73069;XF 1300 - XF 1399
610.73069;XC 5900 - XC 5928
610.73069;PF 492
610.73069;MS 6100
610.730692;XB 2340
610.730692;XF 1300 - XF 1399
610.730692;XC 5900 - XC 5928
610.730692;XB 2250
610.730693;XC 5900 - XC 5928
610.730693;XF 1300 - XF 1399
610.730698;XC 5900 - XC 5928
610.730698;XF 1300 - XF 1399
610.730699;BQ 6010
610.730699;XC 2500 - XC 2999
610.730699;CW 6760
610.730699;DS 7250
610.730699;XC 5900 - XC 5928
610.730699;XC 2800 - XC 2899
610.730711;QX 730
610.730711;DS 7250
610.730711;XF 1300 - XF 1399
610.73072;XB 1916
610.73072;XF 1300 - XF 1399
610.73072;XC 5900 - XC 5928
610.73072;XC 2816
610.73072;XB 4600 - XB 4699
610.73076;AL 43400
610.73076;XC 5900 - XC 5928
610.73076;XF 1100 - XF 1199
610.73076;XF 1210 - XF 1277
610.73076;XF 1300 - XF 1399
