sourcenotation;targetnotation
34; P 
340; P  
340.1; BR 1500 - BR 1560 
340.1; PI
340.1; CC 7600
340.1; CC 7800
340.1; NT 1000 - NT 1000
340.11; CC 7300
340.112; BK 2060
340.112; BR 1560
340.112; PI 3580 
340.112; PI 3000 - PI 3090 
340.112; MD 6300
340.112; PI 3520 
340.112; PI 3700 - PI 3720
340.112; PL 400 - PL 418 
340.112; PK 280
340.112; MD 4400
340.11; CC 7620
340.115; PK 255
340.115; PL 
340.115; PI 5000 - PI 5030 
340.115; PI 4130
340.115; MS 6800 - MS 6900
340.115; PK 280
340.115; MD 4700
340.115; PL 400 - PL 418 
340.115; CC 7300 - CC 7950
340.115; PI 4500
340.115; PU 1542
340.115; PU 4340
340.12; PI 3000 - PI 3090
340.12; PI 3500 - PI 3620
340.12; PI 4000 - PI 4130
340.12; GD 8850
340.12; PC 5350
340.12; PC 5500 - PC 5805
340.12; PW 1550
340.12; PU
340.19; YH 8300 - YH 8399
340.19; PH 9020
340.19; CW 8000
340.2; PH 6000 - PH 6060
340.2; PU 1520
340.2; PC 1400 - PC 1830
340.2; PS 3720
340.3; PU 1520
340.3; PI 3090
340.3; MF 5700
340.3; PQ 1650
340.3; PQ 2500
340.3; PE 322
340.5; PR 2200
340.5; PI 4000 - PI 4130
340.5; PI 3000
340.5; LB 77000 - LB 77695
340.52; LB 75000 - LB 80730
340.52; PI 5000 - PI 5030 
340.5208991497; MS 3500
340.5208991497; LB 79000 - LB 79695
340.5208991497; PW 8800
340.5208991497; PR 2215
340.520899714; LB 79000 - LB 79695
340.520899714; PW 8800  
340.524; PV
340.524; PR 2056
340.524; PR 2057
340.524; PR 2058 
340.5277089973; PR 2215
340.53; PK 222
340.53; PV 231 - PV 240 
340.53; PV 250 - PV 255
340.53; FB 4070
340.538; PV 250 - PV 255
340.58; FB 4070
340.58; NH 6840
340.58; PI 2320 - PI 2340 
340.54; PV 260 - PV 277
340.54; FB 4070
340.54; NH 8450
340.54; PI 2320 - PI 2340 
340.55; PI 2400 - PI 2520
340.55; PW  2000 - PW 3900
340.55; PW 9150 - PW 9255
340.55; PL 245 - PL 260 
340.550942; PW 9180
340.550942; PU 4100 - PU 4390
340.550942; NM 1130
340.550942; PW 2450
340.56; PU 1530
340.56; PG 450 - PG 475
340.56; PD
340.57; PU 
340.57; PU 4320
