sourcenotation;targetnotation;type
15523-8;2--43852;broad
15536-6;2--43855;broad
15612-7;2--6625;exact
17558-4;2--43155;broad
17863-9;2--43822;broad
18557-7;2--432222;broad
19871-7;2--43717;broad
26445-3;2--43425;broad
26518-4;2--43422;broad
27006-4;2--43422;broad
30644-7;2--434714;broad
30957-6;2--4347385;broad
31098-0;2--4347193;broad
31121-2;2--4347183;broad
31124-8;2--4347193;broad
31138-8;2--4347382;broad
31208-3;2--4347382;broad
31971-5;2--4347382;broad
32787-6;2--4347388;broad
32788-8;2--4347388;broad
32795-5;2--4347388;broad
32801-7;2--4346414;broad
32823-6;2--434714;broad
32850-9;2--4346414;broad
32988-5;2--4347382;broad
32990-3;2--4347382;broad
32993-9;2--4347382;broad
32994-0;2--4347382;broad
33001-2;2--4346414;broad
33012-7;2--434717;broad
33019-X;2--4347382;broad
33025-5;2--4346412;broad
33028-0;2--4347382;broad
33031-0;2--4346245;broad
33034-6;2--4347382;broad
33043-7;2--4347385;broad
33064-4;2--4347382;broad
33274-4;2--434717;broad
33314-1;2--434716;broad
33342-6;2--4347388;broad
33397-9;2--4347352;broad
33406-6;2--4347328;broad
33415-7;2--4347185;broad
33426-1;2--4347197;broad
33428-5;2--4347388;broad
33477-7;2--4347388;broad
33509-5;2--4347382;broad
34209-9;2--434712;broad
34219-1;2--434712;broad
34275-0;2--4347352;broad
34277-4;2--4347352;broad
34301-8;2--434714;broad
34307-9;2--4347189;broad
34324-9;2--4346242;broad
34327-4;2--4346242;broad
34342-0;2--4346414;broad
34389-4;2--4347193;broad
34400-X;2--4347189;broad
34404-7;2--4347185;broad
34429-1;2--4347325;broad
34450-3;2--4347352;broad
34454-0;2--4347328;broad
34467-9;2--4347388;broad
34468-0;2--4347388;broad
34477-1;2--4347382;broad
34478-3;2--4347385;broad
34481-3;2--4346412;broad
34505-2;2--4347385;broad
34519-2;2--434714;broad
34549-0;2--4346245;broad
34601-9;2--4347832;broad
34604-4;2--4347382;broad
34605-6;2--4347382;broad
34628-7;2--4347385;broad
34654-8;2--4347193;broad
34662-7;2--4347183;broad
34682-2;2--4347325;broad
