sourcenotation;targetnotation;type
4129090-2;sh85000691;close
4179441-2;sh85000693;close
4052154-0;sh85000744;close
4153179-6;sh85000755;close
4128177-9;sh85001437;close
4222520-6;sh85002213;close
4034128-8;sh85004126;close
4074225-8;sh85004126;close
4142280-6;sh85004635;close
4501732-3;sh85006999;close
4250589-6;sh85018012;close
4192524-5;sh85018112;close
4153785-3;sh85020380;close
4140197-9;sh85021009;close
4201417-7;sh85022430;close
4502251-3;sh97008948;close
4342939-7;sh85022627;close
4125349-8;sh85023698;close
4415601-7;sh95005351;close
4308309-2;sh85028396;close
4164760-9;sh85028844;close
4010433-3;sh85028889;close
4299579-6;sh85029256;close
4136979-8;sh85033238;close
4033201-9;sh86002049;close
4239686-4;sh85037315;close
4443338-4;sh86004637;close
4501725-6;sh85039336;close
4126991-3;sh85039338;close
4059714-3;sh85039340;close
4027223-0;sh99005746;close
4578034-1;sh85039341;close
4212188-7;sh86003560;close
4124890-9;sh85046445;close
4618562-8;sh94005380;close
4202368-3;sh85064634;close
4185968-6;sh85064634;close
4153987-4;sh85047759;close
4293214-2;sh89004164;close
4127416-7;sh89002206;close
4130623-5;sh85049675;close
4221647-3;sh96009875;close
4128262-0;sh89004165;close
4128262-0;sh89004165;close
4132523-0;sh85058775;close
4159095-8;sh85058806;close
4132521-7;sh85058930;close
4127993-1;sh85064677;close
4183004-0;sh85064677;close
4138350-3;sh85071224;close
7500391-0;sh85071414;close
4197307-0;sh85073564;close
4212707-5;sh90003131;close
4242909-2;sh85077816;close
4052154-0;sh86005794;close
4185968-6;sh85064636;close
4037569-9;sh89004166;close
4037845-7;sh85081817;close
4163194-8;sh85081842;close
4169024-2;sh85081842;close
4387628-6;sh85127336;close
4346004-5;sh85127336;close
4135122-8;sh85085451;close
4135122-8;sh85085453;close
4170087-9;sh85085877;close
4261944-0;sh85088911;close
4212819-5;sh85088911;close
4040874-7;sh89002771;close
4040801-2;sh85089018;close
4390096-3;sh91001818;close
4131488-8;sh85092117;close
4172474-4;sh85094144;close
4502252-5;sh85094146;close
4160030-7;sh85096580;close
4466758-9;sh85096580;close
4472692-2;sh85097488;close
4044493-4;sh85097501;close
4044493-4;sh85097503;close
4174660-0;sh85102057;close
4182259-6;sh85103376;close
4046587-1;sh85104378;close
4181884-2;sh85107428;close
4176328-2;sh85109101;close
4247240-4;sh89004185;close
4176392-0;sh85109142;close
4121541-2;sh85109143;close
4133611-2;sh85109144;close
4367568-2;sh89002763;close
4128261-9;sh90000713;close
7753098-6;sh85117599;close
4122089-4;sh85120381;close
4251367-4;sh85120629;close
4209384-3;sh90000714;close
4052103-5;sh85120780;close
4291220-9;sh85122114;close
4181515-4;sh85122868;close
4402794-1;sh85127240;close
4008737-2;sh85127241;close
4247292-1;sh85127244;close
4146858-2;sh85127246;close
4284501-4;sh91003081;close
4185046-4;sh85127248;close
4027223-0;sh85127249;close
4199272-6;sh85101298;close
4128664-9;sh85127251;close
4485037-2;sh85127253;close
4057922-0;sh85128631;close
4209523-2;sh93007399;close
4167006-1;sh85131807;close
4126580-4;sh86003879;close
4185051-8;sh85134538;close
4185047-6;sh85134539;close
4027223-0;sh85134542;close
4261186-6;sh85134542;close
4185058-0;sh85134548;close
4204590-3;sh88000736;close
4182770-3;sh85134562;close
4155326-3;sh85134563;close
4162874-3;sh85134568;close
4059706-4;sh85134581;close
4185045-2;sh85134570;close
4185057-9;sh85134571;close
4618588-4;sh85076581;close
4185050-6;sh92000184;close
4059702-7;sh85134578;close
4185043-9;sh85134585;close
4008738-4;sh85134593;close
4008738-4;sh85134593;close
4161430-6;sh85134607;close
4126993-7;sh95001188;close
4135320-1;sh85079992;close
4398844-1;sh85134608;close
4185044-0;sh85134608;close
4198380-4;sh85134610;close
4185053-1;sh85134614;close
4136604-9;sh85136355;close
4189057-7;sh98000567;close
4235048-7;sh85142758;close
4113749-8;sh85143535;close
4188961-7;sh85145808;close
4356688-1;sh85147507;close
4428817-7;sh87005881;close
4501736-0;sh93009119;close
4501733-5;sh93009119;close
4469908-6;sh89006532;close
4112561-7;sh85148169;close
4495597-2;sh85148928;close
4248060-7;sh85004126;close
4254089-6;n82116931;close
4253955-9;n82116931;close
4182707-7;sh90000713;close
4143388-9;sh85099805;close
4125349-8;sh2002008575;close
4146860-0;sh85044098;close
4461958-3;sh85039316;close
4229033-8;sh85008304;close
4284500-2;sh85026019;close
4053548-4;sh85039338;close
4257078-5;sh85014525;close
4219212-2;sh2008002461;close
4128431-8;sh85049675;close
4059702-7;sh85134522;close
4008619-7;sh85000411;close
4137490-3;sh85070999;close
4128990-0;sh85070999;close
4048732-5;sh85000411;close
4005298-9;sh85000901;close
4005298-9;sh85000901;close
4063351-2;sh85000913;close
4036557-8;sh85001319;close
4000626-8;sh85001441;close
4034402-2;sh85002415;close
4704302-7;sh85002427;close
4073995-8;sh85002427;close
4000771-6;sh85002484;close
4112470-4;sh85002541;close
4001156-2;sh85003425;close
4001895-7;sh85004835;close
4142399-9;sh85004931;close
4060143-2;sh88005077;close
4060087-7;sh85005249;close
4156184-3;sh85005357;close
4002230-4;sh85005581;close
4002325-4;sh85005746;close
4201096-2;sh85005757;close
4002827-6;sh85006507;close
4002851-3;sh85006611;close
4142970-9;sh85006909;close
4002859-8;sh85006913;close
4114333-4;sh85007461;close
4000626-8;sh85007494;close
4166030-4;sh85008000;close
4033423-5;sh85008276;close
4003305-3;sh85008893;close
4003311-9;sh85009003;close
4133965-4;sh85010494;close
4004436-1;sh85011609;close
4006432-3;sh85013838;close
4006432-3;sh85013865;close
4006804-3;sh85014152;close
4006851-1;sh85014203;close
4063673-2;sh85014310;close
4008570-3;sh85015758;close
4035439-8;sh85015758;close
4024076-9;sh85016008;close
4130793-8;sh85016091;close
4008357-3;sh85017095;close
4112681-6;sh85017769;close
4156127-2;sh85017769;close
4061963-1;sh85018285;close
4029577-1;sh85019958;close
4052753-0;sh85020702;close
4190717-6;sh85020922;close
4163454-8;sh85021228;close
4245777-4;sh85021228;close
4235431-6;sh85021618;close
4062132-7;sh85022719;close
4009816-3;sh85022986;close
4073410-9;sh85023380;close
4163817-7;sh85023396;close
4030550-8;sh85023418;close
4010109-5;sh85025011;close
4010074-1;sh85025219;close
4073436-5;sh85025567;close
4178936-2;sh85025567;close
4073436-5;sh85025854;close
4030720-7;sh85025619;close
4017102-4;sh85026014;close
4056723-0;sh85026130;close
4056754-0;sh85026282;close
4069720-4;sh85026344;close
4146877-6;sh85026371;close
4043169-1;sh85026387;close
4125698-0;sh85026423;close
4067906-8;sh85026423;close
4030958-7;sh85026719;close
4031790-0;sh85028562;close
4128651-0;sh85028571;close
4023222-0;sh85028901;close
4023249-9;sh85028940;close
4003841-5;sh85028953;close
4031883-7;sh85029027;close
4031892-8;sh85029120;close
4037764-7;sh85029120;close
4047394-6;sh85029524;close
4055382-6;sh85029534;close
4062801-2;sh85031329;close
4004811-1;sh85031360;close
4031445-5;sh2010008400;close
4020646-4;sh85032912;close
4157055-8;sh85032928;close
4031011-5;sh85033238;close
4034309-1;sh85033462;close
4025453-7;sh85033582;close
4226334-7;sh85033582;close
4166043-2;sh85033827;close
4167882-5;sh85033827;close
4057799-5;sh85033993;close
4057795-8;sh85034058;close
4058881-6;sh85036577;close
4033229-9;sh85034149;close
4036020-9;sh85034149;close
4059657-6;sh85034152;close
4114328-0;sh85034273;close
4033581-1;sh85034748;close
4059028-8;sh85035659;close
4011152-0;sh85035857;close
4011119-2;sh86007767;close
4073883-8;sh85036316;close
4011413-2;sh85036647;close
4012040-5;sh85037489;close
4113303-1;sh85037489;close
4015332-0;sh85037853;close
4192877-5;sh86005508;close
4194747-2;sh85038362;close
4032844-2;sh85038411;close
4012656-0;sh85038731;close
4026181-5;sh85038796;close
4012899-4;sh85039316;close
4067453-8;sh85039408;close
4127900-1;sh85039408;close
4060747-1;sh85039483;close
4066749-2;sh85040193;close
4066768-6;sh85040193;close
4043207-5;sh85040752;close
4043212-9;sh85040762;close
4076602-0;sh85040778;close
4066438-7;sh85040804;close
4066493-4;sh85040837;close
4063885-6;sh85040850;close
4078943-3;sh85040850;close
4015482-8;sh85040989;close
4044302-4;sh85040989;close
4123868-0;sh85041091;close
4072562-5;sh85041065;close
4022354-1;sh85041077;close
4064286-0;sh85041557;close
4014346-6;sh85042383;close
4120730-0;sh85042782;close
