sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GF 6760;Gesamtausgaben;18.10;Deutsche Literatur
GF 6760;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6760;Einzelausgaben;18.10;Deutsche Literatur
GF 6760;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6760;Übersetzungen;18.10;Deutsche Literatur
GF 6760;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6760;Sekundärliteratur;18.10;Deutsche Literatur
GF 6765;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6766;Einzelausgaben;18.10;Deutsche Literatur
GF 6766;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6767;Übersetzungen;18.10;Deutsche Literatur
GF 6767;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6767;Sekundärliteratur;18.10;Deutsche Literatur
GF 6772;Gesamtausgaben;18.10;Deutsche Literatur
GF 6773;Einzelausgaben;18.10;Deutsche Literatur
GF 6773;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6774;Übersetzungen;18.10;Deutsche Literatur
GF 6774;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6775;Sekundärliteratur;18.10;Deutsche Literatur
GF 6787;Gesamtausgaben;18.10;Deutsche Literatur
GF 6787;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6788;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6789;Übersetzungen;18.10;Deutsche Literatur
GF 6789;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6790;Sekundärliteratur;18.10;Deutsche Literatur
GF 6795;Gesamtausgaben;18.10;Deutsche Literatur
GF 6795;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6796;Einzelausgaben;18.10;Deutsche Literatur
GF 6797;Übersetzungen;18.10;Deutsche Literatur
GF 6797;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6798;Sekundärliteratur;18.10;Deutsche Literatur
GF 6822;Gesamtausgaben;18.10;Deutsche Literatur
GF 6822;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6823;Einzelausgaben;18.10;Deutsche Literatur
GF 6823;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6824;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6825;Sekundärliteratur;18.10;Deutsche Literatur
GF 6846;Gesamtausgaben;18.10;Deutsche Literatur
GF 6846;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6847;Einzelausgaben;18.10;Deutsche Literatur
GF 6847;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6848;Übersetzungen;18.10;Deutsche Literatur
GF 6849;Sekundärliteratur;18.10;Deutsche Literatur
GF 6897;Gesamtausgaben;18.10;Deutsche Literatur
GF 6897;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6898;Einzelausgaben;18.10;Deutsche Literatur
GF 6898;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6899;Übersetzungen;18.10;Deutsche Literatur
GF 6899;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6906;Gesamtausgaben;18.10;Deutsche Literatur
GF 6906;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6907;Einzelausgaben;18.10;Deutsche Literatur
GF 6907;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6908;Übersetzungen;18.10;Deutsche Literatur
GF 6908;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6909;Sekundärliteratur;18.10;Deutsche Literatur
GF 6919;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6920;Einzelausgaben;18.10;Deutsche Literatur
GF 6920;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6921;Übersetzungen;18.10;Deutsche Literatur
GF 6921;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6922;Sekundärliteratur;18.10;Deutsche Literatur
GF 6929;Gesamtausgaben;18.10;Deutsche Literatur
GF 6930;Einzelausgaben;18.10;Deutsche Literatur
GF 6930;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6931;Übersetzungen;18.10;Deutsche Literatur
GF 6931;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6932;Sekundärliteratur;18.10;Deutsche Literatur
GF 6945;Gesamtausgaben;18.10;Deutsche Literatur
GF 6945;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6946;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6947;Übersetzungen;18.10;Deutsche Literatur
GF 6947;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6948;Sekundärliteratur;18.10;Deutsche Literatur
GF 6950;Gesamtausgaben;18.10;Deutsche Literatur
GF 6950;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6951;Einzelausgaben;18.10;Deutsche Literatur
GF 6952;Übersetzungen;18.10;Deutsche Literatur
GF 6952;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6953;Sekundärliteratur;18.10;Deutsche Literatur
GF 6958;Gesamtausgaben;18.10;Deutsche Literatur
GF 6958;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6959;Einzelausgaben;18.10;Deutsche Literatur
GF 6959;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6960;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6961;Sekundärliteratur;18.10;Deutsche Literatur
GF 6966;Gesamtausgaben;18.10;Deutsche Literatur
GF 6966;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6967;Einzelausgaben;18.10;Deutsche Literatur
GF 6967;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6968;Übersetzungen;18.10;Deutsche Literatur
GF 6969;Sekundärliteratur;18.10;Deutsche Literatur
GF 6970;Gesamtausgaben;18.10;Deutsche Literatur
GF 6970;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6971;Einzelausgaben;18.10;Deutsche Literatur
GF 6971;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6972;Übersetzungen;18.10;Deutsche Literatur
GF 6972;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6973;Sekundärliteratur;18.10;Deutsche Literatur
GF 6980;Gesamtausgaben;18.10;Deutsche Literatur
GF 6980;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6981;Einzelausgaben;18.10;Deutsche Literatur
GF 6981;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6982;Übersetzungen;18.10;Deutsche Literatur
GF 6982;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6983;Sekundärliteratur;18.10;Deutsche Literatur
GF 6987;Primärliteratur;18.10;Deutsche Literatur
GF 6987;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6988;Sekundärliteratur;18.10;Deutsche Literatur
GF 6989;Primärliteratur;18.10;Deutsche Literatur
GF 6989;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6990;Sekundärliteratur;18.10;Deutsche Literatur
GF 6991;Primärliteratur;18.10;Deutsche Literatur
GF 6991;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6992;Sekundärliteratur;18.10;Deutsche Literatur
GF 6998;Gesamtausgaben;18.10;Deutsche Literatur
GF 6998;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6999;Einzelausgaben;18.10;Deutsche Literatur
GF 6999;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7000;Übersetzungen;18.10;Deutsche Literatur
GF 7000;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7020;Primärliteratur;18.10;Deutsche Literatur
GF 7020;Primärliteratur;17.97;Texte eines einzelnen Autors
