fromNotation;toNotation
PB 1050 - PB 1699;86.1
PB 1700 - PB 1880;86.1
PB 1900 - PB 3150;86.1
PB 3400 - PB 3500;86.1
PB 3600 - PB 3650;86.1
PB 3700 - PB 3702;86.1
PB 3703 - PB 4100;86.1
PB 4200 - PB 5960;86.1
PB 6500 - PB 6649;86.1
PB 6650 - PB 6699;86.1
PB 6700 - PB 6710;86.1
PB 6900;86.1
PB 7000 - PB 7030;86.1
PB 7050 - PB 7350;86.1
PB 7500;86.1
PB 7600 - PB 7699;86.1
PB 7700 - PB 8200;86.1
PB 8300 - PB 8600;86.1
PB 8700 - PB 8850;86.1
PB 9000 - PB 9100;86.1
PB 9101 - PB 9149;86.1
PB 9150 - PB 9199;86.1
PB 9200 - PB 9350;86.1
PB 9400 - PB 9500;86.1
PC 0990 - PC 1900;1.1
PC 0990 - PC 1340;1.1
PC 0990;1.11
PC 1000;1.1
PC 1010;1.1
PC 1011;1.18
PC 1015;1.18
PC 1020 - PC 1340;
PC 1020;1.11
PC 1040;1.11
PC 1050;1.11
PC 1060;1.11
PC 1080;1.11
PC 1100;1.11
PC 1120;1.11
PC 1140;1.11
PC 1160;1.11
PC 1170;1.11
PC 1200;1.11
PC 1220;1.11
PC 1225;1.11
PC 1240;1.11
PC 1260;1.11
PC 1280;1.11
PC 1285;1.11
PC 1300;1.11
PC 1305;1.11
PC 1340;1.11
PC 1400 - PC 1830;1.11
PC 1400;1.1
PC 1515 - PC 1830;1.14
PC 1515;1.14
PC 1525;1.14
PC 1530;1.14
PC 1535;1.14
PC 1539;1.14
PC 1540;1.14
PC 1550;1.14
PC 1560;1.14
PC 1570;1.14
PC 1580;1.14
PC 1590;1.14
PC 1591;1.14
PC 1596;1.14
PC 1600;1.14
PC 1607;1.14
PC 1615;1.14
PC 1625;1.14
PC 1639;1.14
PC 1640;1.14
PC 1650;1.14
PC 1656;1.14
PC 1664;1.14
PC 1682;1.14
PC 1710;1.14
PC 1775;1.14
PC 1830;1.14
PC 1900;1.29
PC 2000 - PC 2500;
PC 2000;1.25
PC 2050;1.29
PC 2100;1.29
PC 2109;1.29
PC 2150;1.2
PC 2200;1.24
PC 2300;1.22
PC 2500 - PC 2506;
PC 2500;86
PC 2500;18.09
PC 2501;86
PC 2501;18.04
PC 2502;86
PC 2502;18.22
PC 2503;86
PC 2503;18.31
PC 2504;86
PC 2504;18.26
PC 2505;86
PC 2505;18.52
PC 2506;86
PC 2507;86
PC 2600 - PC 2900;
PC 2600;1.2
PC 2700;86
PC 2800;86
PC 2900;86
PC 3000 - PC 4500;
PC 3000;86.08
PC 3020;86.08
PC 3100;86.13
PC 3200;1.29
PC 3300;81.49
PC 3300;86.04
PC 3500;6.41
PC 3500;6.3
PC 4300;6.3
PC 4320;6.3
PC 4330;6.3
PC 4340;6.7
PC 4500;86
PC 4630 - PC 4720;86
PC 4630;86
PC 4650;86
PC 4700;1.4
PC 4720;1.4
PC 4750 - PC 4850;
PC 4750;86
PC 4800;86
PC 4850;86
PC 5200 - PC 5230;
PC 5200;1.3
PC 5210;1.3
PC 5230;1.3
PC 5350;86.99
PC 5500 - PC 5805;86.04
PC 5500;86.04
PC 5520;86.04
PC 5540;86.04
PC 5550;86.04
PC 5600;86.04
PC 5700;86
PC 5720;86.03
PC 5730;86.03
PC 5750;86.03
PC 5800;86
PC 5805;86
PC 6000 - PC 6030;
PC 6000;86
PC 6010;86.01
PC 6030;86.14
PD;86.18
PD 1000 - PD 2880;86.18
PD 1000 - PD 1999;86.18
PD 2000;86.18
PD 2020;86.18
PD 2040;86.18
PD 2060;86.18
PD 2080;86.18
PD 2080;86.03
PD 2090;86.18
PD 2200 - PD 2600;86.18
PD 2200 - PD 2219;86.18
PD 2220 - PD 2259;86.18
PD 2260;86.18
PD 2280;86.18
PD 2290;86.18
PD 2300;86.18
PD 2310;86.18
PD 2320;86.18
PD 2330;86.18
PD 2340;86.18
PD 2360;86.18
PD 2380;86.18
PD 2400;86.18
PD 2420;86.18
PD 2500;86.18
PD 2520;86.18
PD 2540;86.18
PD 2560;86.18
PD 2600;86.18
PD 2620;86.18
PD 2650 - PD 2700;86
PD 2650;86
PD 2700;86
PD 2800;86.01
PD 2820;86.09
PD 2840;86.06
PD 2860;86.03
PD 2880;86.03
PD 3000 - PD 3580;86.19
PD 3000 - PD 3008;86.19
PD 3000;86.19
PD 3001;86.19
PD 3002;86.19
PD 3003;86.18
PD 3004;86.18
PD 3005;86.18
PD 3006;86
PD 3007;86.03
PD 3008;86.03
PD 3040 - PD 3100;
PD 3040;86.19
PD 3060;86.19
PD 3080;86.19
PD 3090;86.19
PD 3100;86.19
PD 3120 - PD 3200;86.19
PD 3120;86.19
PD 3140 - PD 3180;86.19
PD 3140;86.19
PD 3160;86.19
PD 3180;86.19
PD 3200;86.19
PD 3220;86.19
PD 3240;86.19
PD 3260 - PD 3280;86.19
PD 3260;86.19
PD 3280;86.19
PD 3300;86.2
PD 3300;86.22
PD 3320 - PD 3440;86.19
PD 3320;86.19
PD 3340;86.19
PD 3360;86.19
PD 3380;86.19
PD 3400;86.19
PD 3420;86.19
PD 3440;86.19
PD 3460 - PD 3540;86.19
PD 3460;86.19
PD 3480;86.19
PD 3500;86.19
PD 3520 - PD 3528;86.19
PD 3520;86.19
PD 3521;86.19
PD 3522;86.19
PD 3523;86.18
PD 3524;86.18
PD 3525;86.18
PD 3526;86
PD 3527;86.03
PD 3528;86.18
PD 3540;86.2
PD 3560;86.19
PD 3580;86.19
PD 3600 - PD 4160;86.2
PD 3600 - PD 3608;86.2
PD 3600;86.2
PD 3601;86.2
PD 3602;86.2
PD 3603;86.18
PD 3604;86.18
PD 3605;86.18
PD 3606;86
PD 3607;86.03
PD 3608;86.18
PD 3620 - PD 3760;86.2
PD 3620;86.2
PD 3640 - PD 3680;86.2
PD 3640;86.2
PD 3660;86.2
PD 3680;86.2
PD 3700 - PD 3720;86.2
PD 3700;86.2
PD 3720;86.2
PD 3740;86.2
PD 3760;86.2
PD 3780 - PD 3920;86.2
PD 3780;86.2
PD 3800;86.2
PD 3820;86.2
PD 3840;86.2
PD 3860;86.2
PD 3880;86.2
PD 3900;86.2
PD 3920;86.2
PD 3940 - PD 3980;86.2
PD 3940;86.2
PD 3960;86.2
PD 3980;86.2
PD 4000 - PD 4080;86.2
PD 4000;86.2
PD 4020;86.2
PD 4040;86.2
PD 4060;86.2
PD 4080;86.2
PD 4100;86.2
PD 4120;86.2
PD 4140;86.2
PD 4160;86.2
PD 4300 - PD 6180;86.2
PD 4300 - PD 4308;86.2
PD 4300;86.2
PD 4301;86.2
PD 4302;86.2
PD 4303;86.18
PD 4303;86.2
PD 4304;86.18
PD 4304;86.2
PD 4305;86.18
PD 4305;86.2
PD 4306;86.18
PD 4306;86.2
PD 4307;86.03
PD 4308;86
PD 4320 - PD 4480;86.2
PD 4320;86.2
PD 4340;86.2
PD 4360;86.2
PD 4380;86.2
PD 4400;86.2
PD 4420;86.2
PD 4440;86.2
PD 4460;86.2
PD 4480;86.2
PD 4500 - PD 4960;86.2
PD 4500;86.2
PD 4520;86.2
PD 4540;86.2
PD 4560 - PD 4580;86.2
PD 4560 - PD 4568;86.2
PD 4560;86.2
PD 4561;86.2
PD 4562;86.2
PD 4563;86.18
PD 4563;86.2
PD 4564;86.18
PD 4564;86.2
PD 4565;86.18
PD 4565;86.2
PD 4566;86.2
PD 4567;86.03
PD 4568;86.03
PD 4580;86.2
PD 4600;86.2
PD 4620;86.2
PD 4640;86.2
PD 4660;86.2
PD 4680;86.2
