fromNotation;toNotation
QB 000 - QB 200;83
QB 000 - QB 200;85
QB 000 ;83
QB 000 ;85
QB 010;1.2
QB 020;83
QB 100;83.03
QB 100;85.03
QB 200;85.04
QB 300;2.13
QB 310;81.51
QB 320;81.91
QB 320;85.04
QB 324;81.91
QB 326;81.6
QB 330;81.6
QB 330;83.04
QB 330;85.04
QB 333;83.04
QB 333;80.03
QB 334;85.1
QB 334;85.25
QB 336;85.09
QB 336a;81.66
QB 336a;85
QB 340;81.78
QB 341;81.78
QB 400;83
QB 800;1.11
QB 800;54.64
QB 900;83
QB 900;83.1
QB 910;83.1
QB 930;
QC ;83.5
QC ;83.1
QC 000;83.1
QC 010;83.02
QC 020;85.03
QC 040;83.1
QC 070;83.1
QC 070;15.09
QC 071;83.1
QC 071;15.09
QC 072;83.1
QC 072;15.09
QC 100 - QC 347;83.13
QC 100 - QC 347;83.11
QC 100;83.1
QC 110;83.11
QC 120;85.35
QC 130 - QC 160;83.11
QC 130;83.1
QC 131;85.02
QC 132;83.11
QC 133;83.32
QC 135;83.11
QC 135;70.03
QC 140 - QC 141;83.12
QC 140;83.12
QC 141;83.12
QC 150;74.12
QC 160;83.13
QC 200 - QC 240;85.35
QC 200 - QC 240;83.14
QC 200;83.1
QC 210;83.5
QC 220;83.14
QC 230;83.22
QC 240;83
QC 240;83.67
QC 300 - QC 347;83.12
QC 300;83.1
QC 310;83.14
QC 320;83.5
QC 325;83.5
QC 330;83.33
QC 340 - QC 347;83.31
QC 340 - QC 347;83.46
QC 340;83.31
QC 344;83.31
QC 346;83.67
QC 347;89.93
QD;83.2
QD;83.13
QD 000 - QD 050;83.13
QD 000;83.3
QD 010;83.13
QD 020;83.3
QD 030;83.3
QD 040;89.63
QD 050;83
QD 100 - QD 140;83.2
QD 100;83.2
QD 110;89.3
QD 110;89.12
QD 110;83.32
QD 120;89.19
QD 130;11.62
QD 140;86.27
QD 200;83.13
QD 250;2.4
QE;83.02
QE 000;15.09
