fromNotation;toNotation
CM 1000;150.1
CM 1100;150.1
;150.8
CM 2000;150.8
;150.9
CM 2200;150.1
;150.7
CM 2500;150.2
;510
CM 3000;150.2
;150.287
;510
CM 3200;150.2
;150.287
;510
CM 3300;150.2
;150.287
;300.72
CM 3400;150.2
;610.72
;150.287
;510
CM 3500;150.7
;150.724
CM 3600;150.2
CM 4000;150.2
;001.4
;510
CM 4100;150.2
;519.535
CM 4200;150.2
;519.55
;150.15195
CM 4300;150.2
CM 4400;150.2
;510
CM 5000;150.1
;150.2
CM 5500;150.1
;150.2
CM 6000 - 6500;150.7
CM 6000;150.7
CM 6050;150.7
CM 6100;150.7
CM 6500;150.7
CN;
CN 1500;150.1
;150.2
;150.5
CN 2500;150.1
;150.2
CN 3000;150.1
;150.2
CN 3500;150.1
;150.2
CN 4000;150.1
;150.2
CN 4500;150.1
;150.2
CN 4600;150.1
;150.2
CP;
CP 1000;152
CP 2000;152.1
;153.7
;153.73
CP 2500;152.14
;152.15
;152.16
;152.18
;153.74
;153.75
CP 3000;152.4
;153.153
;153.8
CP 3100;153.153
;153.8
;158.1
CP 3200;152.4
;612.8232
CP 3500;152.46
;152.47
CP 3600;152.46
CP 3700;152.46
;610
CP 3800;152.47
CP 3900;158.72
;610
;155.9042
CP 4000;153
;612.8233
;153.2
CP 4100;153.4
;153.42
CP 4200;153.4
;153.46
CP 4300;153.4
;153.43
CP 4400;153.12
;153.13
;153.14
;616.89
CP 4500;153.14
CP 5000;153.1
;153.14
CP 5100;153.15
CP 5200;153.15
CP 5300;153.153
;153.8
CP 6000;153.15
CP 6500;400
;418.4019
CP 7000;152.3
;152.32
;152.33
;152.35
;152.38
CP 8000;300
CP 9000;153.3
;154.3
;154.6
;154.63
;154.64
;154.7
;154.72
;154.76
;154.77
;610
;135
CP 9400;130
;131
;133
CP 9500;
CQ;
CQ 1000;155
;155.4
;155.7
;610
CQ 2000;152.1
;153
;155.412
;155.413
;*
CQ 3000;152.3
;610
CQ 4000;400
CQ 5000;*
;155.41
;155.51
;155.61
;158.1
CQ 5100;155.418
CQ 5200;152.4
;153.153
;153.8
CQ 5500;155.4
CQ 6000;155.4
CQ 6200;155.4
CQ 6400;155.4
CQ 6600;155.5
CQ 7000 - 7400;155.6
CQ 7000;155.6
;155.6463
CQ 7200;155.65
;155.66
CQ 7400;155.67
CQ 7600;155.93
;*
CQ 9000;150.7
;150.724
CQ 9100 - 9103;150.8
;150.9
CQ 9100 - 9103;150.8
;150.9
CQ 9500;
CR;
CR 1000;155.2
CR 3000;150.1
;155.2
CR 4000;155.26
CR 5000;153.3
;153.32
;153.35
;153.9
CR 6000;155.3
;155.31
;155.32
;155.33
;155.34
;155.43
;155.53
;305.3
;155.63
CR 7000;155.22
;155.23
;155.232
;155.24
;155.25
;158.1
CR 9500;
CS;610
CS 1000;150.2
;610
CS 1500;150.2
;150.287
;510
CS 2000;150.2
;150.287
CS 2500;
CS 3000;152.93
CS 3500;
CS 4000;370
CS 4500;
CS 5000;610
CS 5500;610
CS 9500;
CT;
CT 1000 - 1900;152.93
CT 1000;150.287
CT 1500;150.287
CT 1900;150.287
CT 2000 - 2400;150.287
CT 2000;150.287
CT 2400;150.287
CT 3000;150.287
CT 4000 - 4880;370
CT 4000;370
CT 4880;370
CT 5000 - 5300;152.93
CT 5000;150.287
CT 5300;152.93
CT 6000 - 6500;152.93
CT 6000;152.93
CT 6100;152.93
CT 6200;152.93
CT 6300;152.93
CT 6400;152.93
CT 6500;152.93
CT 7000;150.287
;610
CT 8000;610
CT 8500;150.287
;610
CU;
CU 1000;610
CU 2000;150.195
;154.22-.24
;616.8917 
CU 2500 - 2503;150.8
;150.9
CU 2520 - 2521;150.8
;150.9
CU 2540 - 2543;150.8
;150.9
CU 2550 - 2553;150.8
;150.9
CU 2560 - 2563;150.8
;150.9
CU 2565 - 2568;150.8
;150.9
CU 2570 - 2573;150.8
;150.9
CU 2580 - 2583;150.8
;150.9
CU 2590 - 2593;150.8
;150.9
CU 2650 - 2653;150.8
;150.9
CU 2660 - 2663;150.8
;150.9
CU 2670 - 2673;150.8
;150.9
CU 2680 - 2683;150.8
;150.9
CU 2690 - 2693;150.8
;150.9
CU 3000;616.89
;616.8581
CU 3040;155.9
;155.91
;155.92
;155.93
;155.94
;155.95
;155.96
;616.98
CU 3100;616.852206
;616.85/82
CU 3200;616.8527
;616.895
CU 3400;
CU 3600;
;616.8
CU 4000;
;616.8585
;616.85854
;616.85882
;616.858832
CU 5000;
CU 5500;616.08
CU 6000;
CU 7000;
CU 7500;
CU 8000;615
CU 8000;616.8914
CU 8100 - 8390;
CU 8100;615
