fromNotation;sourcepreflabel;toNotation;targetpreflabel
CC 7000;Geschichte der Ethik;170.9;Geschichte, Geografische Behandlung, Biografien
CC 7100 ;Einführungen, Bibliographien, Hand-, und Wörterbücher;170;Ethik
CC 7200 ;Abhandlungen;100;Philosophie, Psychologie
CC 7220;Freiheit, Wille;123.5;Freiheit
CC 7220;Freiheit, Wille;153.8;Wille
CC 7220;Freiheit, Wille;303.37; Soziale Normen
CC 7220;Freiheit, Wille;170.44;Normative Ethik
CC 7240;Analytische Ethik und Axiologie;121.8;Geltung und Werttheorie (Axiologie) 
CC 7240;Analytische Ethik und Axiologie;170.44;Normative Ethik
CC 7250;Wertphilosophie, Sinnfrage;170.44;Normative Ethik
CC 7262;Wirtschaftsethik;174.4;Wirtschaftsethik
CC 7264;Bio- und Medizinethik;179;Andere ethische Normen
CC 7264;Bio- und Medizinethik;174.2;Medizinische Berufe
CC 7264;Bio- und Medizinethik;205.642;Medizinethik
CC 7264;Bio- und Medizinethik;241.642;Christentum und Medizinethik
CC 7264;Bio- und Medizinethik;294.35642;Buddhismus und Medizinethik
CC 7264;Bio- und Medizinethik;294.548642;Hinduismus und Medizinethik
CC 7264;Bio- und Medizinethik;296.3642;Judentum und Medizinethik
CC 7264;Bio- und Medizinethik;297.542;Islam und Medizinethik
CC 7265;Feministische Ethik, Geschlechterforschung (Gender Studies);170.82;Personengruppen incl. Standardschlüssel Frauen
CC 7266;Tierschutzethik, Tierrecht;179.3;Behandlung von Tieren
CC 7266;Tierschutzethik, Tierrecht;205.693;Tiere Behandlung der Ethik Religion
CC 7267;Umweltethik;179.1;Respekt vor dem Leben und der Natur
