fromNotation;toNotation
CC 2000 - CC 2600;160
CC 2500 ;160
CC 3000 - CC 3300 ;121
CC 3300 ;161
CC 3800 ;121.68
CC 4000 - CC 4500 ;121
CC 4600 - CC 4800 ;146.94
CC 5600 - CC 5680 ;128.2
CC 5800 - CC 6020 ;110
CC 5800 - CC 6020 ;111
CC 6020 ;111.1
CC 6100 - CC 6350 ;113
CC 6320 ;114
CC 6320 ;115
CC 6400 - CC 6600 ;128
CC 6700 - CC 6900 ;111.85
CC 6950 - CC 6960 ;128.4
CC 7300 - CC 7950 ;340.1
CC 7600 ;340.1
CC 7620 ;340.112
CC 7620 ;171.2
CC 7950 ;140
CC 8000 - CC 8300 ;901
CC 8300 ;202.3
CC 8480 - CC 8500 ;210
CC 8600 ;305.4201
CC 8700 ;601
CD - CK ; 180-190
CD 1100 - CI 8000 ;190.904
CD 1600 - CD 3697 ;182
CD 1645 - CD 1650 ;182
CD 1695 - CD 1700 ;183.1
CD 1745 - CD 1750 ;186.2
CD 1795 - CD 1800 ;185
CD 3700 - CD 7467 ;180.937
CD 3700 - CD 7467 ;190.8827
CD 3795 - CD 3800 ;188
CD 3845 - CD 3850 ;186
CD 3895 - CD 3900 ;182.2
CD 3945 - CD 3950 ;141.2
CD 3995 - CD 4000 ;299.932
CD 4045 - CD 4050 ;189
CE 1050 - CE 4977 ;189
CE 1080 - CE 1090 ;189.2
CE 1095 - CE 1100 ;189.4
CE 1145 - CE 1150 ;181.07
CE 1145 - CE 1150 ;181.92
CE 1195 - CE 1200 ;181.06
CE 5100 - CE 8501 ;190
CG 1250 - CG 8299;193
CI 1000 - CI 8300 ;190.904
CI 1110 ;128
CI 1110 ;144.3
CI 1110 ;149
CI 1110 ;121.686
CI 1120 ;142.7
CI 1125 ;149.97
CI 1130;142.78
CI 1140;149.91
CI 1140;149.2
CI 1150 ;146.42
CI 1150 ;146.44
CI 1150 ;146.4
CI 1180 - CI 5217;193
CI 5300 - CI 6294 ;194
CI 6300 - CI 6831 ;191
CI 6300 - CI 6831 ;192
CI 7050 - CI 7321 ;195
CI 7050 - CI 7321 ;197
CI 7350 - CI 7799 ;197
CI 7800 - CI 8029 ;199
CI 8200 - CI 8300 ;198
CI 8500 - CI 9900 ;181
CI 8500 - CI 9599 ;181.1-181.9
CI 8520 ;181.112
CI 8520 ;299.512
CI 8530 ;294.5
CI 8530 ;181.4
CI 8550 ;181.043
CI 8550 ;181.4
CI 8700 - CI 9599 ;181.1-181.9
CI 9600 ;199.6
CI 9700 - CI 9750 ;181.06
CM 2000 ;150.9
CM 3000 ;150.287
CM 3200 ;530.801
CM 3300 ;150.287
CM 3400 ;519.53
CM 3500 ;519.57
CM 4000 ;150.287
CM 4100 ;519.535
CM 4200 ;519.55
CM 5500 ;153.83
CM 5500 ;519.3
CM 6500;150.92
CP 2000 ;152
CP 2500 ;152.14
CP 2500 ;152.15
CP 2500 ;152.16
CP 3000 ;153.1534
CP 3000 ;152.5
CP 3100 ;152.5
CP 3100 ;153.1534
CP 3200 ;152.4
CP 3500 - CP 3900;152.46
CP 3500 - CP 3900;152.47
CP 3500 - CP 3900;155.9042
CP 4000 ;153
CP 4100 ;153.4
CP 4200 ;153.4
CP 4300 ;153.43
CP 4400 ;153.1
CP 4500 ;153
CP 4600 ;153
CP 4600 ;153.8
CP 5000 ;153.1
CP 5100 ;153.15
CP 5200 ;153.152
CP 5300 ;370.154
CP 6000 ;153.1532
CP 6000 ;153.733
CP 6500 ;153.6
CP 6500 ;420.19
CP 7000 ;152.3
CP 7000 ;370.155
CP 8000 ;150.1943
CP 9000 ;154.63
CP 9000 ;154.6
CP 9000 ;154.7
CP 9400 ;131
CP 9400 ; 201.6001-201.6199
CQ;155
CQ 2000 ;155.2
CQ 3000 ;152.3
CQ 4000 ;401.93
CQ 5100 ;155.25
CQ 5500 ; 155.4-155.6
CQ 6000 ;155.4
CQ 6000 ;155.5
CQ 6200 ;155.422
CQ 6200 ;155.423
CQ 6400 ;155.424
CQ 6600 ;155.5
CQ 7000 - CQ 7400 ;
CQ 7200 ;155.6
CQ 7400 ;155.67
CQ 7600 ;155.937
CQ 9000 ;300.723
CR ;155.82
CR 3000 ;155.2644
CR 4000 ;155.26
CR 5000 ;153.9
CR 5000 ;153.35
CR 6000 ;155.3
CR 7000 ;155.23
CR 7000 ;155.232
CS ;150.287
CS 1500 ;150.287
CS 2000 ;155.283
CS 2500 ;155.284
CS 3000 ;153.93
CS 3500 ;153.94
CS 3500 ;155.28
CS 4000 ;371.26
CS 4500 ;152.384
CS 4500 ;153.69
CS 4500 ;155.282
CS 5000 ;155.28
CS 5000 ;616.09
CS 5500 ;155.28
CT ;155.28
CT 1000 - CT 1900 ;153.93
CT 1000 ;150.287
CT 1500 ;150.287
CT 1900 ;153.93
CT 1900 ;616.8588
CT 2000 - CT 2400 ;153.94
CT 2400 ;153.94
CT 3000 ;153.94
CT 4000 - CT 4880 ;371.264
CT 4000 - CT 4880 ;371.26
CT 4000 ;371.262
CT 4200 ;371.264
CT 4880 ;371.264
CT 5000 - CT 5300;153.93
CT 5000 - CT 5300;153.94
CT 5000 - CT 5300;155.28
CT 5000 ;153.93
CT 5100 ;152.40287
CT 5300 ;155.28
CT 6000 - CT 6500;155.284
CT 6000 ;155.2842
CT 6100 ;155.2844
CT 6200 ;155.284
CT 6300 ;155.284
CT 6400 ;155.284
CT 6500 ;155.2843
CT 6800 ;155.283
CT 6800 ;616.89075
CT 7000 ;155.283
CT 7000 ;616.09
CT 7000 ;616.075
CT 8500 ;155.283
CU 2000 - CU 2690 ;150.195
CU 3000 - CU 4500 ;616.89
CU 3040 ;616.8521
CU 3040 ;155.89042
CU 3040 ;155.9042
CU 3040 ;158.1
CU 3100 ;616.8522
CU 3100 ;302.17
CU 3100 ;616.85225
CU 3100 ;616.85227
CU 3200 ;616.8527
CU 3400 ;616.8526
CU 3400 ;616.85262
CU 3400 ;616.85263
CU 3400 ;616.398
CU 3500 ;616.86
CU 3600 ;616.8581
CU 3700 ;616.8524
CU 3700 ;616.8523
CU 3800 ;616.69
CU 3800 ;616.8583
CU 3800 ;616.17
CU 4000 ;616.858
CU 4200 ;616.85882
CU 4500 ;616.89
CU 5000 ;618.928905
CU 5000 ;618.9289
CU 5000 ;616.85884
CU 5500 ;616.08
CU 6000 ;616.075
CU 6050 ;614.4
CU 7000 ;158.3
CU 7000 ;361.06
CU 7000 ;371.713
CU 7500 ;155.24
CU 7500 ;158
CU 7550 ;362.22
CU 8000 - CU 8590;616.8914
CU 8010 ;616.8914
CU 8010 ;158.2
CU 8030 ;616.891
CU 8040 ;658.12
CU 8100 ;618.928914
CU 8100 ;616.89140835
CU 8150 ;615.851550846
CU 8200 ;616.89156
CU 8200 ;616.8915
CU 8300 ;616.891523
CU 8400 - CU 8590;616.8914
CU 8400 ;616.8914
CU 8500 ;616.89142
CU 8500 ;616.891425
CU 8510 ;615.8515
CU 8520 ;615.851
CU 8530 ;615.8515
CU 8540 ;615.5
CU 8550 ;615.85153
CU 8550 ;615.85155
CU 8550 ;615.85156
CU 8550 ;615.85158
CU 8580 ;615.85153
