sourcenotation;x;y;z;targetnotation
TE - TZ;50;3;100;550
TE - TZ;50;3;100;560
TE 1000 - TE 9999;50;4;50;550.5
TE 1000 - TE 9999;50;4;50;560.5
TF;100;2;50;551
TF 1000 - TF 1013;;;;
TF 1000;100;2;50;551.03
TF 1010;100;2;50;551.03
TF 1011;50;4;50;551.025
TF 1012;25;4;25;352.745
TF 1019;50;4;50;551.029
TF 1015 - TF 1024;;;;
TF 1015;50;4;50;551.014
TF 1020;100;2;25;551.072
TF 1024;100;2;50;808.06655
TF 1025 - TF 1070;100;2;50;016.55
TF 1110 - TF 1400;100;2;50;551.03
TF 2300 - TF 2385;100;2;50;551.09
TF 2300;100;2;50;551.09
TF 2310;100;1;100;551.0901
TF 2320;100;1;100;551.0902
TF 2340;100;1;100;551.0903
TF 2360;100;2;50;551.0903
TF 2360;50;3;100;551.09031
TF 2360;50;3;100;551.09032
TF 2360;50;3;100;551.09033
TF 2380;100;1;100;551.09034
TF 2385;100;1;100;551.0904
TF 2500 - TF 2900;;;;
TF 2500;100;2;50;551.092
TF 2800;100;2;25;551
TF 2900;100;2;25;551
TF 3000 - TF 3700;;;;
TF 3000;100;2;50;551.0922
TF 3100;100;2;50;551.092
TF 3400;;;;
TF 3700;;;;
TF 4000 - TF 4170;;;;
TF 4000;100;1;100;551.01
TF 4080;50;4;50;551.023
TF 4080;50;4;50;551.0715
TF 4100;50;4;50;551.0284
TF 4100;50;4;50;551.074
TF 4150;50;4;25;551.0289
TF 4170;;;;
TF 4300 - TF 4500;;;;
TF 4300;50;4;25;508.09033
TF 4400;50;4;25;508.09034
TF 4500;50;4;25;508.0904
TF 4700 - TF 4850;;;;
TF 4700;100;2;50;551.071
TF 4800;100;2;50;551.071
TF 4850;100;2;50;551.0785
TF 4900;100;2;25;551
TF 5000 - TF 9999;;;;
TF 5000;100;2;25;551
TF 6800 - TF 7200;100;2;25;551
TF 7300 - TF 9999;100;2;50;551.05
TG;100;2;50;551
TG 1000;100;2;50;551
TG 1100;100;2;25;551.028
TG 1200;100;1;100;551.1
TG 1300;50;4;25;550.28
TG 1400;;;;
TG 2000;50;3;100;551.21
TG 2000;50;3;100;551.8
TG 2100;100;1;100;551.21
TG 2300;50;4;50;552.3
TG 2400;100;2;25;551.21
TG 3000 - TG 6300;100;1;100;551.8
TG 3000;100;2;50;551.8
TG 3100;100;2;50;551.8
TG 3200;100;1;100;551.136
TG 3300;;;;
TG 4000;100;2;50;551.8
TG 5000;100;2;50;551.8
TG 5100;100;1;100;551.87
TG 5400;;;;
TG 5600;100;2;50;551.458
TG 5700;50;4;50;551.11
TG 6000;100;1;100;551.82
TG 6100;100;1;100;551.86
TG 6300;;;;
TG 6400;50;4;50;552.03
TG 7000;100;1;100;551.3
TG 7100;100;1;100;551.302
TG 7200;100;2;50;551.302
TG 7200;50;3;100;551.352
TG 7200;50;3;100;551.372
TG 7200;50;4;50;551.38
TG 7300;100;2;50;551.302
TG 7300;50;4;50;551.305
TG 7400;100;2;50;551.302
TG 7400;50;4;50;551.305
TG 8000;100;1;100;551.303
TG 8100;;;;
TG 8200;50;3;100;551.373
TG 8200;50;3;100;551.374
TG 8300;50;3;100;551.353
TG 8300;50;3;100;551.354
TG 8800;;;;
TG 9000;50;4;50;551.36
TG 9100;;;;
TG 9200;;;;
TG 9400;;;;
TH;100;1;100;552
TH 1000;100;2;50;552
TH 1100;100;2;50;552.03
TH 1200;100;2;50;551.9
TH 1200;100;2;50;552.06
TH 1300;100;2;50;552.03
TH 1400;;;;
TH 2000;;;;
TH 3000;100;1;100;552.1
TH 3100;100;2;50;552
TH 3100;50;4;50;552.1
TH 3100;50;4;50;552.2
TH 3100;50;4;50;552.3
TH 4000;100;2;50;552
TH 4000;50;4;50;552.1
TH 4000;50;4;50;552.2
TH 4000;50;4;50;552.3
TH 4400;;;;
TH 5000;100;1;100;552.4
TH 5100;100;2;25;552.4
TH 5200;100;2;25;552.4
TH 5300;100;2;25;552.4
TH 5400;100;2;25;552.4
TH 5500;100;2;25;552.4
TH 6000;100;1;100;552.5
TH 6100;50;3;100;553.62
TH 7000;;;;
TH 7100;50;4;50;553.63
TH 7200;100;2;25;552.5
TH 7200;50;3;100;552.58
TH 7200;50;3;100;553.3
TH 8000;50;4;50;553.2
TH 8100;50;4;50;553.25
TH 8200;50;4;50;553.24
TH 8300;50;4;50;553.22
TH 8400;50;4;50;553.21
TH 8500;50;4;50;553.28
TH 8600;50;4;50;553.28
TH 8700;50;4;50;553.28
TH 8800;;;;
TH 9000;100;1;100;551.397
TI 1000 - TI 3800;50;4;50;631.4
TI 1000;50;4;50;631.4
TI 1100;100;1;100;551.305
TI 1200;25;4;25;631.41
TI 1200;25;4;25;631.42
TI 1200;25;4;25;631.43
TI 1200;25;4;25;631.47
TI 2000;50;4;50;631.44
TI 2100;;;;
TI 2300;50;4;50;631.42
TI 2400;;;;
TI 2500;;;;
TI 2600;;;;
TI 3000;;;;
TI 3300;;;;
TI 3400;;;;
TI 3500;;;;
TI 3600;;;;
TI 3700;;;;
TI 3800;;;;
TI 4000 - TI 6800;100;1;100;551.31
TI 4000;100;2;50;551.31
TI 4100;100;1;100;551.312
TI 4800;100;1;100;551.34
TI 4900;100;1;100;551.344
TI 5000 - TI 5900;100;2;50;551.3109
TI 5000;100;2;50;551.3109
TI 5100;100;1;100;551.31094
TI 5200;100;1;100;551.31095
TI 5300;100;1;100;551.31096
TI 5400;100;1;100;551.31097
TI 5500;100;1;100;551.31098
TI 5600;100;1;100;551.310994
TI 5700;100;1;100;551.3109989
TI 5800;100;2;25;551.3109
TI 5900;100;1;100;551.342
TI 6000;100;1;100;551.313
TI 6100;100;1;100;551.314
TI 6300;100;1;100;551.315
TI 6600;100;1;100;551.3109012
TI 6700;;;;
TI 6800;50;4;50;551.384
TI 7000 - TI 7600;100;1;100;551.46
TI 7000;100;2;50;551.46
TI 7100;100;2;50;551.46
TI 7200;;;;
TI 7300;100;1;100;551.4683
TI 7400;50;3;100;551.465
TI 7400;50;3;100;551.466
TI 7600;50;3;100;551.462
TI 7600;50;3;100;551.463
TI 7600;50;3;100;551.464
TI 8000 - TI 8900;100;1;100;551.48
TI 8000;100;2;50;551.48
TI 8100;;;;
TI 8500;;;;
TI 8600;50;4;50;333.910416
TI 8700;100;1;100;551.49
TI 8700;25;4;25;553.79
TI 8900;100;1;100;551.498
TI 9000 - TI 9200;100;1;100;551.447
TI 9000;100;2;50;551.447
TI 9100;100;2;50;551.447
TI 9200;100;2;25;551.49
TK - TN;100;1;100;551.7
TK 1000;100;2;50;551.7
TK 1005;100;1;100;551.701
TK 1040;100;2;25;551.7
TK 1055;100;2;25;551.7
TK 1100;100;1;100;551.71
TK 1300;100;1;100;551.712
TK 1500;100;1;100;551.715
TK 1700;100;1;100;551.72
TK 1900;100;1;100;551.723
TK 2100;100;2;50;551.723
TK 2300;100;2;50;551.723
TK 2500;100;2;50;551.723
TK 2700;100;1;100;551.731
TK 2900;100;2;25;551.731
TK 3100;100;2;25;551.731
TK 3300;100;2;25;551.731
TK 3500;100;2;25;551.731
TK 3700;100;2;25;551.731
TK 3900;100;2;25;551.731
TK 4100;100;1;100;551.732
TK 4300;100;2;50;551.732
TK 4500;100;2;50;551.732
TK 4700;100;2;50;551.732
TK 4900;100;1;100;551.74
TK 5100;100;2;50;551.74
TK 5300;100;2;25;551.74
TK 5500;100;2;25;551.74
TK 5700;100;2;25;551.74
TK 5900;100;2;50;551.74
TK 6100;100;2;25;551.74
TK 6300;100;2;25;551.74
TK 6500;100;2;50;551.74
TK 6700;100;2;25;551.74
TK 6900;100;2;25;551.74
TK 7100;100;2;25;551.74
TK 7300;100;2;25;551.74
TK 7500;100;2;50;551.75
TK 7700;100;1;100;551.751
TK 7900;100;2;50;551.751
TK 8100;100;2;50;551.751
TK 8300;100;1;100;551.752
TK 8500;100;2;50;551.752
TK 8700;100;2;50;551.752
TK 8900;100;2;50;551.752
TK 9100;100;2;50;551.75
TL 1000;100;1;100;551.756
TL 1200 - TL 1899;100;2;50;551.756
TL 2000 - TL 3499;100;2;50;551.756
TL 3600;100;1;100;551.76
TL 3800;100;1;100;551.762
TL 4000 - TL 5099;100;2;50;551.762
TL 5200 - TL 7499;100;2;50;551.762
TL 7600;100;1;100;551.766
TM 2600;100;1;100;551.77
TM 8000;50;3;100;551.78
TM 8000;50;3;100;551.79
TM 8200;100;1;100;551.78
TM 8400;100;1;100;551.782
TM 8600;100;1;100;551.783
TN 1000;100;1;100;551.784
TN 2400;100;1;100;551.785
TN 3200;100;1;100;551.786
TN 3400;100;1;100;551.787
TN 5000;100;1;100;551.788
TN 5600;100;1;100;551.79
TN 5800;100;1;100;551.792
TN 9400;100;1;100;551.793
TP;;;;
TP 1000;100;2;50;550
TP 1100;100;2;25;551.7
TP 1200;100;2;25;551.70028
TP 5000;100;1;100;554
TP 5005;100;1;100;554.3
TP 5010;100;2;50;554.3
TP 5015;100;2;50;554.3
TP 5020;100;1;100;554.35
TP 5022;100;1;100;554.3512
TP 5024;50;4;50;554.351212
TP 5024;50;4;25;554.35129
TP 5026;100;2;50;554.3512
TP 5028;100;2;50;554.3512
