fromNotation;x;y;z;toNotation
V;100;1;100;540
V;25;4;50;615.1
VA;25;4;25;016.54
VA;50;3;100;540.5
VA;50;4;50;540.72
VA 1040;100;2;25;016.54
VA 1060;100;2;25;540.72
VA 1097;100;2;25;540.72
VA 1110;100;2;25;540.5
VA 1120 - VA 9990;100;2;50;540.5
VB;50;3;100;016.54
VB;25;3;100;540.9
VB;25;3;100;540.71
VB 1010 - VB 1999;50;3;100;016.54
VB 1010 - VB 1999;50;3;100;540.3
VB 1010;100;1;100;540.3
VB 1025;50;3;100;016.5405
VB 1030;50;4;50;016.54
VB 1070;50;4;50;016.54
VB 1100;100;2;25;540.3
VB 1110 - VB 1399;100;2;25;540.3
VB 1700;50;4;50;016.54092
VB 1700;50;4;50;540.25
VB 1710 - VB 1999;100;2;25;012.028
VB 2000;;;;
VB 2100;100;1;100;540.1
VB 2300 - VB 3399;100;2;50;540.9
VB 2300;100;2;50;540.9
VB 2310;100;1;100;540.901
VB 2320;100;1;100;540.902
VB 2330;100;1;100;540.112
VB 2340;100;1;100;540.903
VB 2360;100;2;25;540.9031
VB 2360;100;2;25;540.9032
VB 2360;100;2;25;540.9033
VB 2380;50;3;100;540.9034
VB 2380;50;3;100;540.904
VB 2390;100;1;100;540.905
VB 2400;100;2;50;540.9
VB 2410;100;2;50;547.009
VB 2420;100;2;50;543.09
VB 2450;50;4;50;615.109
VB 2460;50;4;25;615.109
VB 2470;50;4;25;615.109
VB 2510 - VB 2799;100;2;50;540.92
VB 2800;100;2;25;540
VB 2810 - VB 3099;100;2;25;540
VB 3100;100;2;100;540.922
VB 3110 - VB 3399;100;2;50;540.92
VB 3410 - VB 3699;;;;
VB 3710 - VB 3999;;;;
VB 4010;50;4;25;540.72
VB 4045;50;4;25;540.1
VB 4045;50;4;50;540.71
VB 4048;100;2;50;540.71
VB 4050 - VB 4064;100;2;50;540.71
VB 4050;100;2;50;540.711
VB 4051;50;4;50;540.711
VB 4051;50;4;50;540.715
VB 4052;100;2;25;540.712
VB 4053;100;2;25;540.712
VB 4054;100;2;25;540.715
VB 4055;50;4;25;540.712
VB 4060 - VB 4080;100;2;50;540.78
VB 4100 - VB 4179;50;4;50;542
VB 4100;50;4;50;542.1
VB 4130;25;4;25;344.0472
VB 4150;100;1;100;542.89
VB 4170;25;4;25;613.62
VB 4190;100;1;100;540.272
VB 4200;100;2;50;540.14
VB 4300;100;2;25;540.7
UB 4400;100;2;25;540.7
VB 4500;50;4;25;540.25
VB 4500;50;4;25;540.29
VB 4600;100;2;25;540.29
VB 4650;100;2;25;540.29
VB 4700;100;2;25;621.381029
VB 4750;100;2;25;381.029
VC;100;1;100;540
VC 1000 - VC 1099;50;4;50;540.21
VC 1000 - VC 1099;50;4;50;540.3
VC 2000 - VC 4990;100;2;25;540
VC 5000 - VC 5200;100;2;50;540
VC 5000;100;2;50;540
VC 5010;100;2;25;540.7
VC 5020;100;2;25;540.7
VC 5030;100;2;25;540.14
VC 5040;100;2;50;016.54
VC 5070;25;4;25;378.242
VC 5080;100;2;25;540
VC 5085;100;2;25;540.5
VC 5100;100;2;50;540.72
VC 5200;100;2;50;540.76
VC 6000 - VC 6709;50;3;100;540.151
VC 6000 - VC 6709;50;3;100;542.85
VC 6000;100;2;50;540.151
VC 6050;50;4;50;540.72
VC 6050;50;4;50;542.85
VC 6050;25;3;100;542.8564
VC 6080;100;1;100;542.8553
VC 6100;100;1;100;541.20151
VC 6100;50;3;100;541.201518
VC 6150;100;1;100;542.8563
VC 6200;100;1;100;542.8566
VC 6250;50;4;25;540.113
VC 6280;25;4;25;540.113
VC 6300;100;2;50;540.11
VC 6320;100;2;25;540.11
VC 6340;100;2;25;540.11
VC 6400;100;2;25;542.85
VC 6450;50;4;25;629.8
UC 6500;100;1;100;338.47660285
VC 6700;50;4;50;542.8545
VC 7600;25;4;25;378.242
VC 8000;25;4;25;378.242
VC 8600;25;4;25;378.242
VC 9000;25;4;25;378.242
VC 9500;100;2;25;540.218
VE;100;1;100;541
VE 1000 - VE 1099;50;4;50;541.021
VE 1000 - VE 1099;50;4;50;541.03
VE 2000 - VE 4990;100;2;25;541
VE 5000 - VE 9909;100;2;50;541
VE 5000;100;2;50;541
VE 5010;100;2;25;541.07
VE 5020;100;2;25;541.07
VE 5030;100;2;25;541.014
VE 5040;100;2;50;016.541
VE 5070;25;4;25;378.242
VE 5075;25;4;25;378.242
VE 5080;100;2;25;541
VE 5085;100;2;25;541
VE 5100;100;2;50;541.072
VE 5200;100;2;50;541.076
VE 5300;50;3;100;541.22
VE 5300;50;3;100;541.24
VE 5600;100;1;100;541.2
VE 5650;100;1;100;541.28
VE 5700;100;1;100;541.015122
VE 5720;50;4;50;541.2242
VE 5740;;;;
VE 5780;50;4;25;541.20151539
VE 5790;100;1;100;523.02
VE 5800;50;3;100;541.394
VE 5830;100;1;100;541.3686
VE 5850;100;1;100;541.3687
VE 5850;50;4;50;541.0424
VE 5860;50;4;50;621.55
VE 5870;;;;
VE 5880;;;;
VE 5900;;;;
VE 6000;100;1;100;541.36
VE 6000;50;3;100;541.369
VE 6300;100;1;100;541.37
VE 6350;100;1;100;541.372
VE 7000;100;1;100;541.33
VE 7020;100;1;100;541.335
VE 7040;50;4;50;541.395
VE 7060;100;1;100;668.1
VE 7070;100;2;50;541.34514
VE 7080;100;2;50;541.34514
VE 7090;100;1;100;541.34515
VE 7100;;;;
VE 7300;50;4;50;541.0422
VE 7600;100;1;100;541.34
VE 7800;50;4;50;541.226
VE 7800;100;1;100;541.2242
VE 8000;50;3;100;541.345
VE 8000;50;4;50;547.7
VE 8100;;;;
VE 8300;50;3;100;541.35
VE 8300;50;3;100;541.38
VE 8400;100;1;100;541.388
VE 8600;50;4;50;543.5
VE 8600;50;4;50;543.6
VE 8700;100;1;100;541.7
VE 9000;100;1;100;541.378
VE 9300;100;1;100;541.0421
VE 9350;50;4;25;548
VE 9400;;;;
VE 9500;50;4;25;530.41
VE 9530;;;;
VE 9550;50;4;25;530.429
VE 9580;;;;
VE 9600;50;4;25;549
VE 9600;50;4;25;551.9
VE 9650;50;4;50;669
VE 9670;50;4;50;620.11
VE 9800;25;4;25;621.89
VE 9850;50;4;50;620.5
VE 9900;50;4;50;541.0724
VG;100;1;100;543
VG 1000 - VG 1099;50;4;50;543.021
VG 1000 - VG 1099;50;4;50;543.03
VG 2000 - VG 4990;100;2;25;543
VG 5000 - VG 9909;100;2;50;543
VG 5000;100;2;50;543
VG 5010;100;2;25;543.07
VG 5020;100;2;25;543.07
VG 5030;100;2;25;543.014
VG 5040;100;2;50;016.543
VG 5070;25;4;25;378.242
VG 5075;25;4;25;378.242
VG 5080;100;2;25;543
VG 5085;100;2;25;543
VG 5100;100;2;50;543.072
VG 5150;100;2;25;543.072
VG 5170;100;2;25;543.072
VG 5200;100;2;50;543.076
VG 5500;;;;
VG 6000;100;2;50;543
VG 6100;100;2;50;543
VG 6500;100;1;100;543.2
VG 6550;100;2;25;543.2
VG 6600;100;2;50;543.24
VG 6620;100;2;25;543.2
VG 6650;100;2;25;543.2
VG 6700;100;1;100;543.22
VG 6800;100;2;25;543.2
