fromNotation;x;y;z;toNotation
W;100;1;100;570
WA;100;2;50;570.5
WA 10000 - WA 14999;100;2;25;570.5
WA 15000 - WA 99999;100;2;50;570.5
WB;50;4;50;016.57
WB;50;4;50;570.3
WB;50;4;50;570.71
WB 1005;100;2;50;570.3
WB 1006;100;2;50;580.3
WB 1008;100;2;50;590.3
WB 1010;100;2;50;570.3
WB 1011;100;2;25;570.25
WB 1012;100;2;25;570.29
WB 1013;100;2;50;570.71
WB 1015;100;2;50;570.14
WB 1020;50;4;50;808.027
WB 1024;50;3;100;808.027
WB 1024;50;3;100;808.0665
WB 1025;100;2;50;016.5705
WB 1027;100;2;25;570.7
WB 1030 - WB 1068;;;;
WB 1030;100;2;50;016.57
WB 1031 - WB 1068;;;;
WB 1031;100;2;50;016.5709
WB 1034;100;2;50;016.57072
WB 1036;50;4;50;016.5714
WB 1036;50;4;50;016.5716
WB 1036;50;4;50;016.572
WB 1038;50;4;50;016.57196
WB 1038;50;4;50;016.579
WB 1038;50;4;50;016.6606
WB 1040;100;2;50;016.5765
WB 1041;50;4;50;016.5766
WB 1041;50;4;50;016.5999
WB 1041;25;4;25;016.5699
WB 1044;100;2;50;016.577
WB 1044;25;4;50;016.6399
WB 1046;100;2;50;016.58
WB 1050;50;4;50;016.5712
WB 1050;50;4;50;016.57132
WB 1052;100;2;50;016.59
WB 1054;100;2;50;016.592
WB 1056;50;4;25;016.59326
WB 1056;50;4;25;016.595
WB 1059;100;2;50;016.596
WB 1062;100;2;50;016.599
WB 1064;100;2;50;016.5915
WB 1067;50;4;50;016.5711
WB 1067;50;4;50;016.57131
WB 1068;50;4;50;016.57181
WB 1068;50;4;50;016.57241
WB 1070 - WB 1108;;;;
WB 1070;100;2;50;016.57
WB 1071 - WB 1108;;;;
WB 1071;100;2;50;016.5709
WB 1074;100;2;50;016.57072
WB 1076;50;4;50;016.5714
WB 1076;50;4;50;016.5716
WB 1076;50;4;50;016.572
WB 1078;50;4;50;016.57196
WB 1078;50;4;50;016.579
WB 1078;50;4;50;016.6606
WB 1080;100;2;50;016.5765
WB 1081;50;4;50;016.5766
WB 1081;50;4;50;016.5999
WB 1081;25;4;25;016.5699
WB 1084;100;2;50;016.577
WB 1084;25;4;50;016.6399
WB 1086;100;2;50;016.58
WB 1088;50;4;50;016.5712
WB 1088;50;4;50;016.57132
WB 1094;100;2;50;016.59
WB 1095;100;2;50;016.592
WB 1096;50;4;25;016.5926
WB 1096;50;4;25;016.595
WB 1098;100;2;50;016.596
WB 1102;100;2;50;016.599
WB 1104;100;2;50;016.5915
WB 1107;50;4;50;016.5711
WB 1107;50;4;50;016.57131
WB 1108;50;4;50;016.57181
WB 1108;50;4;50;016.57241
WB 1110 - WB 1399;100;2;50;503
WB 1400 - WB 1490;;;;
WB 1400;100;2;50;570.3
WB 1403 - WB 1490;;;;
WB 1403;50;4;50;570.3
WB 1403;50;4;50;580.3
WB 1403;50;4;50;590.3
WB 1410;50;4;50;571.403
WB 1410;50;4;50;571.9603
WB 1410;50;4;50;572.03
WB 1412;100;2;50;571.603
WB 1413;50;4;50;579.03
WB 1413;50;4;50;660.603
WB 1415;100;2;50;576.503
WB 1420;50;4;50;576.803
WB 1420;50;4;50;599.903
WB 1420;25;4;25;569.903
WB 1425;100;2;50;577.03
WB 1425;25;4;25;639.903
WB 1428;100;2;50;577.603
WB 1435;100;2;50;580.3
WB 1437;100;2;25;580.3
WB 1440;100;2;50;571.3203
WB 1445;100;2;50;571.203
WB 1450;100;2;50;571.9203
WB 1455;100;2;50;590.3
WB 1457 - WB 1478;;;;
WB 1457;100;2;50;592.03
WB 1460;50;4;50;592.603
WB 1460;50;4;50;595.03
WB 1470;100;2;50;596.03
WB 1478;100;2;50;599.03
WB 1480;100;2;50;591.503
WB 1488;50;4;50;571.103
WB 1488;50;4;50;571.3103
WB 1490;50;4;50;571.8103
WB 1490;50;4;50;572.4103
WB 1700;100;1;100;570.92
WB 1710 - WB 1999;100;2;50;570.92
WB 1710 - WB 1999;50;4;25;012.028
WB 2015 - WB 2090;;;;
WB 2015;50;4;50;571.092
WB 2015;50;4;50;579.092
WB 2025;100;2;50;577.092
WB 2035;100;2;50;580.92
WB 2045;100;2;50;571.2092
WB 2050;100;2;50;590.92
WB 2080;100;2;50;591.5092
WB 2088;50;4;50;571.1092
WB 2088;50;4;50;571.31092
WB 2090;50;4;50;571.81092
WB 2090;50;4;50;572.41092
WB 2300 - WB 2488;100;2;50;570.9
WB 2300;100;2;50;570.9
WB 2310;100;1;100;570.901
WB 2320;100;1;100;570.902
WB 2340;100;1;100;570.903
WB 2360;100;2;50;570.903
WB 2370;50;4;50;570.9033
WB 2370;50;4;50;570.9034
WB 2380;50;4;50;570.9034
WB 2380;50;4;50;570.904
WB 2385;100;1;100;570.904
WB 2400 - WB 2488;;;;
WB 2400;100;2;50;570.9
WB 2403;;;;
WB 2405;50;4;50;571.409
WB 2405;50;4;50;571.609
WB 2405;50;4;50;572.09
WB 2410;50;4;50;579.09
WB 2410;50;4;50;660.609
WB 2415;50;4;50;576.509
WB 2415;50;4;50;660.6509
WB 2420;50;4;50;576.809
WB 2420;50;4;50;599.909
WB 2420;25;4;25;569.909
WB 2425;100;2;50;577.09
WB 2428;100;2;50;578.7709
WB 2435;100;2;50;580.9
WB 2437;100;2;50;586.09
WB 2442;100;2;50;580.9
WB 2443;50;4;50;630.9
WB 2445;100;2;50;571.209
WB 2448;100;2;50;571.9209
WB 2450;100;2;50;590.9
WB 2460;100;2;50;592.09
WB 2470;100;2;50;596.09
WB 2478;100;2;50;599.09
WB 2480;100;2;50;591.509
WB 2488;50;4;50;571.109
WB 2488;50;4;50;571.3109
WB 2510 - WB 2799;100;2;50;570.92
WB 2800;100;2;25;570
WB 2810 - WB 3099;100;2;25;570
WB 3100;100;2;25;570.922
WB 3110 - WB 3399;100;2;25;570.92
WB 3410 - WB 3699;50;4;25;570.92
WB 3710 - WB 3999;;;;
WB 4000;100;1;100;570.1
WB 4049 - WB 4099;100;2;50;570.71
WB 4049;100;2;50;570.71
WB 4050 - WB 4059;100;2;50;570.71
WB 4050;100;2;50;570.711
WB 4051;50;4;50;570.711
WB 4051;50;4;50;570.715
WB 4052;100;2;25;570.712
WB 4053;100;2;25;570.712
WB 4054;100;2;25;570.715
WB 4055;50;4;25;570.712
WB 4057;100;2;25;570.71
WB 4059;100;2;25;570.71
WB 4060 - WB 4069;100;2;50;570.78
WB 4060 - WB 4069;25;4;25;371.33
WB 4071;50;4;50;570.7
WB 4071;25;4;25;371.32
WB 4072 - WB 4079;50;4;50;570.7
WB 4072 - WB 4079;25;4;25;371.32
WB 4090 - WB 4099;50;4;50;570.78
WB 4090 - WB 4099;25;4;25;371.33
WB 4100 - WB 4150;50;4;50;570.72
WB 4100 - WB 4150;50;4;50;570.78
WB 4100;50;4;50;570.78
WB 4150;50;4;50;570.78
WB 4150;50;4;50;570.289
WB 4170 - WB 4185;;;;
WB 4170;;;;
WB 4185;;;;
WB 4210 - WB 4499;100;2;50;570.6
WB 4510 - WB 4799;50;4;50;570.74
WB 5000 - WB 6200;100;2;25;570
WB 5000 - WB 5200;100;2;25;570
WB 5000;100;2;25;570.9034
WB 5100;100;2;25;570.904
WB 5200;100;2;25;570.905
WB 5300 - WB 5500;100;2;25;580
WB 5300;100;2;25;580.9034
WB 5400;100;2;25;580.904
WB 5500;100;2;25;580.905
WB 5600 - WB 5800;100;2;25;580
WB 5600;100;2;25;580.9034
WB 5700;100;2;25;580.904
WB 5800;100;2;25;580.905
WB 6000 - WB 6200;100;2;25;590
WB 6000;100;2;25;590.9034
WB 6089;100;2;25;590.904
WB 6100;100;2;25;590.904
WB 6200;100;2;25;590.905
WB 6600 - WB 6900;100;2;25;508.09
WB 6600;100;2;25;508.09033
WB 6700;100;2;25;508.09034
WB 6800;100;2;25;508.0904
WB 6900;100;2;25;508.0905
WB 9000 - WB 9400;100;2;50;570.7
WB 9000;100;2;25;570.7
WB 9100 - WB 9500;100;2;25;570.7
WB 9100;100;2;25;570.7
WB 9200;100;2;25;580.7
WB 9300;100;2;25;590.7
WB 9400;;;;
WB 9500;;;;
WC;100;1;100;570.724
WC 1000 - WC 1010;100;2;25;570.3
WC 1100;100;2;50;570.21
WC 1200;100;2;50;570.724
WC 2000 - WC 3550;;;;
WC 2000;100;1;100;571.40724
WC 2050;100;1;100;571.40724
WC 2050;50;4;50;570.28
WC 2200;100;1;100;571.4645
WC 2500;100;2;50;571.45
Wc 2600;100;2;50;571.45
WC 2700;100;1;100;571.457
WC 2800;100;1;100;571.459
WC 2850;100;2;25;570.28
WC 2900;100;1;100;570.282
WC 3300;50;4;50;571.43
WC 3420;50;4;50;570.285
WC 3440;50;4;50;571.47
WC 3460;50;4;50;571.47
WC 3480;50;4;25;543.8
WC 3500;;;;
WC 3550;;;;
WC 4150 - WC 4370;100;1;100;572.0724
WC 4150;100;1;100;572.0724
WC 4150;50;4;50;570.28
WC 4170;100;1;100;572.633
WC 4200;100;1;100;571.74
WC 4350;100;2;50;572.7
WC 4370;100;2;25;572.0724
WC 4400 - WC 4460;50;4;50;660.6
WC 4400;50;4;50;660.6
WC 4420;50;4;50;576.5
WC 4440;100;2;50;572.8
WC 4460;100;2;50;572.8
WC 4500;50;4;50;580.724
WC 4500;50;4;50;580.28
WC 4550;50;4;50;580.78
WC 4900;50;4;50;590.724
WC 4900;50;4;50;590.28
WC 4950;50;4;50;590.78
WC 5050;50;4;50;571.41
WC 5050;50;4;50;571.86
WC 5100;50;4;50;571.6
WC 5150;25;4;25;571
WC 5150;25;4;50;572.437
WC 5300;25;4;25;577
WC 5320;;;;
WC 5350;25;4;25;577.857
WC 5400;25;4;25;577.6
WC 5450;50;4;50;577.27
WC 5450;25;4;25;639.9
WC 5500;50;4;50;577.22
WC 5550;;;;
WC 5700;100;2;50;579.028
WC 5700;50;4;50;660.62
WC 5800;100;2;15;570.28
WC 6000 - WC 6570;50;4;50;590.73
WC 6000;50;4;50;590.73
WC 6140;;;;
WC 6150;50;4;50;597.073
