fromNotation;toNotation
12837-6;4189647-6
19657-1;4383298-2
19657-1;4642838-0
14432-1;4382864-4
14432-1;4016297-7
10256-1;4141767-7
10256-1;4121520-5
30039-4;4035163-4
19791-4;4024663-2
13385-3;4112742-0
14073-3;4045539-7
18820-0;4007974-0
18820-0;4017013-5
10550-1;4152437-8
13327-3;4064698-1
29768-0;7507041-8
29701-4;4208411-8
13736-0;4126512-9
10815-5;4073215-0
12062-4;4075092-9
19629-6;4045586-5
29800-2;7732141-8
12194-1;4133316-0
10199-1;4377236-5
11580-1;7574511-2
12925-2;4115806-4
19385-1;4255997-2
28782-4;4003167-6
19330-5;4141650-8
19667-5;4224492-4
18589-4;4195432-4
15662-0;4041358-5
18237-0;4009274-4
15163-4;4144221-0
10176-6;4133569-7
14462-6;4184401-4
16374-0;4181968-8
18387-2;4047505-0
21306-1;7611361-9
16396-4;4079262-6
30052-5;4046558-5
29680-0;7643554-4
14313-2;4158819-8
15571-3;4122254-4
18832-0;4128349-1
18896-2;4359756-7
10353-3;4353326-7
14109-1;4042827-8
10894-4;4201190-5
12376-2;4161343-0
12376-2;1036463737
11479-4;4113692-5
12809-4;4047966-3
12205-1;4017182-6
24707-3;7739980-8
12928-3;4268535-7
14926-4;4480033-2
14926-4;4232796-9
14926-4;4221641-2
10349-1;4166456-5
18791-2;1051532434
18791-2;4165050-5
12187-5;4031846-1
29627-4;4171980-3
30038-6;4137679-1
15672-4;4054684-6
11999-6;4056769-2
15668-2;4045517-8
19379-3;4056637-7
18218-4;4156249-5
15729-1;4000302-4
18436-1;4184955-3
15661-2;4040802-4
19152-3;4300840-9
29066-4;7583346-3
12291-3;4075977-5
29601-1;4187458-4
27914-4;4011474-0
10834-1;4161425-2
10834-1;4253140-8
19039-6;4032257-9
19039-6;4130175-4
10603-6;4190054-6
10603-6;4185876-1
12987-1;4133357-3
19788-0;4053724-9
19686-1;4131701-4
19715-6;4191538-0
18192-3;4162995-4
29914-1;4023453-8
10115-5;4406578-4
10000-1;4178384-0
10000-1;4001997-4
10000-1;7597327-3
10000-1;4615834-0
10000-1;4364810-1
18335-0;4136846-0
15916-2;4011412-0
14509-6;4133461-9
12024-5;4038544-9
12024-5;4333504-4
12024-5;4165953-3
15554-3;4125677-3
18190-0;4144175-8
19249-2;4201826-2
11915-3;4077832-0
19607-2;4135330-4
18018-5;4032248-8
11740-5;4167014-0
19293-6;4020790-0
10962-6;4121922-3
18684-3;4267737-3
11348-5;4058029-5
19704-4;4033181-7
12958-1;4065136-8
13466-3;4159023-5
15330-4;4165343-9
15742-2;4036582-7
16548-0;4247847-9
18219-2;4053849-7
19447-5;4049348-9
16512-0;4170001-6
19554-4;4380085-3
11518-6;4168080-7
14161-6;4114550-1
14916-0;4215512-5
27358-1;7588126-3
11618-2;4221698-9
11618-2;4424808-8
11618-2;4179415-1
29235-0;7525775-0
16671-1;4042870-9
16671-1;4042866-7
19387-4;4125182-9
11473-2;4140037-9
11501-2;4772250-2
10301-1;4032259-2
29633-2;7548936-3
29633-2;7660453-6
18130-4;4066439-9
15264-5;4194624-8
16516-6;4074660-4
12204-3;4125264-0
12204-3;4125819-8
16524-0;4029931-4
16357-0;4139210-3
18696-3;4165586-2
29863-6;7713286-5
18738-6;4047291-7
14105-2;4020069-3
14105-2;4492841-5
15080-1;4318718-3
16628-2;4071428-7
15721-3;4139770-8
13773-1;4004458-0
13773-1;4131608-3
18636-0;4372085-7
18636-0;4199751-7
19401-1;4138440-4
19401-1;4178655-5
10209-3;4043484-9
28866-5;4392206-5
11534-1;4249667-6
29968-6;1047814250
10397-4;4047126-3
12361-1;4521416-5
10455-2;4039207-7
18022-0;4328949-6
19780-2;4056380-7
14543-6;4061474-8
10027-2;4325484-6
11992-6;4077811-3
13279-2;4007502-3
29643-6;4159225-6
14090-3;4158723-6
19591-5;4128130-5
27331-0;4145078-4
27331-0;7546980-7
19525-4;4053732-8
16502-3;4156741-9
14983-6;4182358-8
14017-6;4066533-1
14017-6;4270482-0
10801-2;4121229-0
14989-1;4019014-6
18308-3;4005983-2
19812-1;4162082-3
19183-6;4039275-2
13810-0;4022895-2
19300-0;4473896-1
10821-3;4064157-0
14149-3;4272528-8
29243-1;4233572-3
12983-2;4459008-8
12983-2;4152662-4
29918-0;4173057-4
12303-1;4078612-2
12078-3;4127374-6
14954-6;4029176-5
16041-6;4067911-1
18448-1;4268614-3
29752-1;4242711-3
13660-0;4074661-6
15392-3;4124102-2
19031-1;4030958-7
19622-6;4065852-1
29082-6;4173908-5
14195-3;4014063-5
13076-2;4129471-3
12729-2;4065578-7
19316-6;4159598-1
18014-6;4007908-9
11976-4;4124268-3
12023-0;4007410-9
20002-5;4383441-3
12432-4;4224655-6
12432-4;4287125-6
12712-5;4123986-6
12712-5;4549167-7
19784-1;4067461-7
18193-1;4163031-2
19310-4;4127791-0
20762-1;4572791-0
18083-1;4121654-4
18211-4;4142761-0
19507-6;4310337-6
19507-6;4201940-0
29950-4;4395694-4
29598-6;4419855-3
15036-4;4659945-9
15036-4;4802783-2
29234-2;4075660-9
10048-1;4211313-1
18008-1;4112468-6
16387-5;4002581-0
10073-2;4228432-6
13324-2;4076573-8
13324-2;4361327-5
14945-0;4279296-4
28082-4;4142909-6
28639-2;4030638-0
29755-2;4186182-6
12308-5;4249656-1
12308-5;4145040-1
11182-6;4002728-4
11182-6;4002730-2
29833-1;4042379-7
16696-6;4078176-8
13310-6;4277507-3
13310-6;4068590-1
13310-6;4139269-3
13989-6;4046517-2
13989-6;4175019-6
12155-4;4121543-6
10963-4;4065839-9
18065-3;4120677-0
12016-4;4206275-5
14812-5;4013134-8
13693-6;4004473-7
14323-6;4125984-1
19674-1;4141644-2
19684-5;4182646-2
26340-4;4010071-6
26340-4;4121093-1
24663-4;4845903-3
24663-4;4556952-6
18702-6;4002106-3
29502-3;4034343-1
14840-0;4479154-9
20921-0;4634625-9
12962-3;4027955-8
16301-6;4140842-1
16301-6;4075654-3
18359-0;4113411-4
29641-3;4454409-1
19149-6;4184833-0
19721-4;4165700-7
19753-5;4003990-0
19003-6;4000110-6
19297-5;4241547-0
12510-3;4188106-0
29895-0;4386767-4
12259-6;4180830-7
19012-5;4426426-4
16330-6;4443901-5
16330-6;4130306-4
29981-0;4078859-3
10980-4;4129420-8
11194-6;4018382-8
10261-1;4061884-5
19161-2;4151183-9
20206-3;4444408-4
14733-1;4220919-5
29812-2;4725388-5
16354-6;4113482-5
