fromNotation;toNotation;type
12837-6;4189647-6;exact
11669-6;4120684-8;related
19657-1;4383298-2;exact
19657-1;4642838-0;exact
14432-1;4382864-4;exact
14432-1;4016297-7;exact
29222-2;4072901-1;related
29222-2;4120506-6;related
11893-1;4513025-5;related
11893-1;4999084-6;related
11893-1;4173655-2;related
11893-1;4045090-9;related
11893-1;4173656-4;related
18508-2;4521893-6;narrow
18508-2;4467936-1;narrow
14225-6;4466232-4;related
10256-1;4141767-7;exact
10256-1;4121520-5;exact
30039-4;4035163-4;exact
19791-4;4024663-2;exact
19129-5;4437294-2;narrow
13385-3;4112742-0;exact
14073-3;4045539-7;exact
13493-0;4273408-3;narrow
18820-0;4007974-0;exact
18820-0;4017013-5;exact
15974-2;4127082-4;related
16080-3;4214724-4;narrow
15773-5;4264901-8;narrow
10550-1;4152437-8;exact
13327-3;4064698-1;exact
12940-6;4019298-2;related
12940-6;4443908-8;related
12940-6;4140215-7;related
10410-3;4190482-5;related
10410-3;4190483-7;related
10410-3;4121940-5;related
29768-0;7507041-8;exact
29701-4;4208411-8;exact
18840-1;4285515-9;narrow
18840-1;4129882-2;narrow
14549-1;4117356-9;related
13736-0;4126512-9;exact
12371-5;4187883-8;narrow
12371-5;4199116-3;narrow
12371-5;4239914-2;narrow
19520-0;4138897-5;related
10815-5;4073215-0;exact
12062-4;4075092-9;exact
19629-6;4045586-5;exact
29800-2;7732141-8;exact
13148-3;4317140-0;narrow
13148-3;4143999-5;narrow
13148-3;4569783-8;narrow
13148-3;4276985-1;narrow
13148-3;4488933-1;narrow
13148-3;4332956-1;narrow
13148-3;7561348-7;narrow
18351-2;4133113-8;narrow
14030-0;4230117-8;narrow
12194-1;4133316-0;exact
10500-2;4072790-7;related
13370-2;4120550-9;narrow
13370-2;4003167-6;narrow
13370-2;4121340-3;narrow
13370-2;4354694-8;narrow
13370-2;4125863-0;narrow
13370-2;4121398-1;narrow
10199-1;4377236-5;exact
11580-1;7574511-2;exact
19112-1;4231695-9;related
19112-1;4129515-8;related
11962-1;4206012-6;related
14044-3;4137154-9;narrow
18920-3;4444998-7;related
12925-2;4115806-4;exact
11560-0;4251492-7;narrow
11560-0;4165680-5;narrow
19433-2;4201190-5;narrow
10478-4;4439454-8;narrow
10478-4;4153199-1;narrow
19385-1;4255997-2;exact
12881-3;4192084-3;narrow
12881-3;4239920-8;narrow
12881-3;4239923-3;narrow
12881-3;4234270-3;narrow
12919-4;4134163-6;narrow
12919-4;4300399-0;narrow
28782-4;4003167-6;exact
13440-0;4409335-4;related
13762-6;4243845-7;narrow
19330-5;4141650-8;exact
16556-1;4078937-8;related
13565-1;4414995-5;narrow
13565-1;4018024-4;narrow
13565-1;4327864-4;narrow
13565-1;4116558-5;narrow
13565-1;4218571-3;narrow
19667-5;4224492-4;exact
18589-4;4195432-4;exact
13837-1;4169794-7;related
13837-1;4172894-4;related
13837-1;4044278-0;related
13837-1;4187893-0;related
13837-1;4169799-6;related
13837-1;4513404-2;related
13837-1;4187745-7;related
13837-1;4039163-2;related
13837-1;4169793-5;related
13837-1;7864470-7;related
13837-1;4169797-2;related
15662-0;4041358-5;exact
13644-5;4337224-7;narrow
13644-5;7543763-6;narrow
13644-5;4018398-1;narrow
13644-5;7584059-5;narrow
13644-5;4123722-5;narrow
13644-5;4340680-4;narrow
10213-5;4219607-3;related
10213-5;4047103-2;related
10213-5;4175626-5;related
10213-5;4193288-2;related
18237-0;4009274-4;exact
15163-4;4144221-0;exact
10176-6;4133569-7;exact
29604-2;4158757-1;narrow
14462-6;4184401-4;exact
18027-4;4139624-8;narrow
18027-4;4160384-9;narrow
16374-0;4181968-8;exact
18387-2;4047505-0;exact
13222-3;4371882-6;narrow
13222-3;4135660-3;narrow
13222-3;4515897-6;narrow
15211-5;4490486-1;narrow
15211-5;4143602-7;narrow
13881-5;7592338-5;narrow
21306-1;7611361-9;exact
16396-4;4079262-6;exact
30052-5;4046558-5;exact
15774-3;7714853-8;narrow
13831-6;4332104-5;narrow
13831-6;4332103-3;narrow
29680-0;7643554-4;exact
14313-2;4158819-8;exact
10771-6;4603857-7;related
10771-6;4287282-0;related
15675-5;4142166-8;narrow
15675-5;4130007-5;narrow
15675-5;4316604-0;narrow
15675-5;4182462-3;narrow
15675-5;4187658-1;narrow
15675-5;4152768-9;narrow
