uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344319041,2024-10-08,800014263,4000695-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344319521,2024-10-08,800632676,4001307-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344319807,2024-10-08,800512658,4002827-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344320066,2024-10-08,800603112,4002851-3,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344320341,2024-10-08,800615093,4000626-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344320678,2024-10-08,800694914,4143303-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344320996,2024-10-08,800396212,4003846-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344321224,2024-10-08,800327218,4129601-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344321569,2024-10-08,800231642,4003900-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344321917,2024-10-08,800496541,4003939-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344322441,2024-10-08,800050402,4006432-3,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344322697,2024-10-08,800621648,4006439-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344322980,2024-10-08,800331807,4145395-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344323227,2024-10-08,800133239,4006804-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134432357X,2024-10-08,800005079,4008003-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344324215,2024-10-08,800421220,4009937-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344324622,2024-10-08,800246119,4010074-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344325041,2024-10-08,800477640,4011152-0,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344325378,2024-10-08,800645922,4011413-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344325777,2024-10-08,800528397,4113292-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344326137,2024-10-08,800215197,4070334-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134432648X,2024-10-08,800559570,4011882-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134432701X,2024-10-08,800154473,4011889-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344327559,2024-10-08,800488280,4011890-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344327885,2024-10-08,800109757,4014777-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134432830X,2024-10-08,800580978,4113450-3,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344328717,2024-10-08,800158223,4014954-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344329039,2024-10-08,800324397,4133254-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344331432,2024-10-08,800633361,4015482-8,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344331726,2024-10-08,800395918,4015602-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344332110,2024-10-08,800401752,4015701-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344332471,2024-10-08,800685589,4016397-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344332625,2024-10-08,800403054,4017102-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134433279X,2024-10-08,800081730,4017894-8,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1344332951,2024-10-08,800383383,4045895-7,=
