sourcenotation;sourcepreflabel;targetnotation
10;Philosophy;CL-CZ
101;Theory of philosophy;CC 3000 - CC 3300
101;Theory of philosophy;CC 3400 - CC 3900
101;Theory of philosophy;CC 4000 - CC 4500
102;Miscellany of philosophy;CC 5300 - CC 5680
102;Miscellany of philosophy;CC 1000
102;Miscellany of philosophy;CC 1100
103;Dictionaries, encyclopedias, concordances of philosophy;CB 3500 - CB 
3;Dictionaries, encyclopedias, concordances of philosophy;BF 1000 - BF 1310
105;Serial publications of philosophy;CA 1000
105;Serial publications of philosophy;CB 1200 - CB 1600
105;Serial publications of philosophy;CB 4050
105;Serial publications of philosophy;BF 1649a
105;Serial publications of philosophy;BF 1650 - BF 1850
105;Serial publications of philosophy;BF 1900 - BF 1925
105;Serial publications of philosophy;BF 1950
106;Organizations and management of philosophy;CB 4500 - CB 4900
107;Education, research, related topics of philosophy;BF 1350
107;Education, research, related topics of philosophy;BF 1360
107;Education, research, related topics of philosophy;CC 3800
109;History and collected biography;BF 1310
109;History and collected biography;BF 1400 - BF 1950
110;Metaphysics;BF 8450
110;Metaphysics;CC 5800 - CC 6020
111;Ontology;CC 5800 - CC 6020
111;Ontology;BF 8650
111.1;Existence, essence, substance, accidents;CC 6020
111.1;Existence, essence, substance, accidents;BF 8280
111.2;Universals;CC 5800
111.5;Nonbeing, nothingness;CC 5800 - CC 6020
111.6;Finite and infinite;CC 5800 - CC 6020
111.6;Finite and infinite;BF 8650
111.8;Properties of being;CC 6020
111.8;Properties of being;BF 8280
111.84;Good and evil;CC 5680
111.84;Good and evil;CC 7000 - CC 7267
111.84;Good and evil;BK 2015
111.84;Good and evil;BK 2155
111.85;Beauty;BF 8000
111.85;Beauty;CC 6700 - CC 6900
113;Cosmology (Philosophy of nature);CC 6100 - CC 6350
113.8;Philosophy of life;CI 1110
114;Space;CC 6320
115;Time;CC 6320
116;Change;CC 8260
116;Change ;CC 6300
116;Change;CC 6320
116; Change;BL 3500 - BL 3530
117;Structure;CC 6300
118;Force and energy;CC 6100 - CC 6350
119;Number and quantity;CC 2600
120;Epistemology, causation, humankind;CC 5300 - CC 5680
121;Epistemology (Theory of knowledge);CC 4000 - CC 4500
121;Epistemology (Theory of knowledge);BF 8150
121.2;Possibility and limits of knowledge;CC 4400
121.2;Possibility and limits of knowledge;CC 6000
121.2;Possibility and limits of knowledge;BF 8150
121.3;Origin, sources, means of knowledge;CC 4000
121.3;Origin, sources, means of knowledge;CC 5300
121.34;Perception;CC 6600
121.34;Perception;CC 6960
121.34;Perception;CC 4400
121.34;Perception;CC 5500
121.34;Perception;CP 2000
121.35;Sensation;CC 6900
121.35;Sensation;CC 4400
121.35;Sensation;CP 2000
121.35;Sensation;CC 5500
121.4;Structure of knowledge;CC 5500
121.4;Structure of knowledge;TB 6200
121.5;Doubt and denial;CC 6400 - CC 6600
121.5;Doubt and denial;CC 4400
121.6;Nature of inquiry;CC 3000 - CC 3300
121.6;Nature of inquiry;CC 4400
121.6;Nature of inquiry;CC 4500
121.6;Nature of inquiry;CC 2500
121.63;Certainty and probability;CC 3300
121.63;Certainty and probability;CC 6300
121.63;Certainty and probability;SG 700
121.63;Certainty and probability;SK 800
121.65;Evidence and criteria;CC 2600
121.65;Evidence and criteria;CC 3200
121.65;Evidence and criteria;CC 4500
121.68;Meaning, interpretation, hermeneutics;CC 4400
121.68;Meaning, interpretation, hermeneutics;CC 4800
121.68;Meaning, interpretation, hermeneutics;ER 600
121.68;Meaning, interpretation, hermeneutics;BG 2000
121.686;Philosophical hermeneutics;CC 3800
121.686;Philosophical hermeneutics;BG 2130
121.686;Philosophical hermeneutics;CC 6900
121.7;Faith                       ;BG 4750 - BG 6640
121.7;Faith                       ;CC 8500
121.8;Worth and theory of values (Axiology);CC 7240
121.8;Worth and theory of values (Axiology);CC 7250
121.8;Worth and theory of values (Axiology);CC 6700 - CC 6900
122;Causation;CC 2500
122;Causation;CC 5500
123;Determinism and indeterminism;CC 7220
123;Determinism and indeterminism;CC 6100 - CC 6350
123.3;Chance;CC 6600
123.3;Chance;CC 3300
123.3;Chance;QH 170
123.3;Chance;SK 800
123.5;Freedom;CC 7220
123.5;Freedom;CC 7700
123.5;Freedom;BL 6300
123.7;Necessity;CC 2500
124;Teleology;CC 6300
124;Teleology;CC 1200
126;The self;CC 4400
116;The self;CC 5500
126;The self;CC 6600
127;The unconscious and the subconscious;CC 6600
127;The unconscious and the subconscious;CC 3600
127;The unconscious and the subconscious;CC 4400
127;The unconscious and the subconscious;CU 2000
128;Humankind;CC 5500
128;Humankind;CC 6400 - CC 6600
128;Humankind;CR 7000
128.1;Soul;BE 2460
128.1;Soul;BF 8050
128.1;Soul;CC 6000
128.1;Soul;CC 6600
128.2;Mind;CC 5300 - CC 5680
128.2;Mind;CC 6400 - CC 6600
128.2;Mind;BF 8050
128.3;Attributes and faculties;CC 5300 - CC 5500
128.3;Attributes and faculties;CC 6400 - CC 6600
128.33;Reason and rationality;CC 2000 - CC 2600
128.33;Reason and rationality;CC 4000 - CC 4500
128.37;Emotion;CC 6400 - CC 6600
128.37;Emotion;CP 3200
128.4;Human action and experience;CC 7300 - CC 7950
128.4;Human action and experience;CC 6400 - CC 6600
128.4;Human action and experience;CC 6960
128.46;Love;CC 6000
128.46;Love;CC 6400 - CC 6600
128.46;Love;CC 7200
128.5;Human death;CC 6600
128.5;Human death;CC 4400
128.5;Human death;CQ 7600
128.6;Body;CC 6600
128.6;Body;BF 8050
128.6;Body;CC 4400
129;Origin and destiny of individual souls;CC 6600
129;Origin and destiny of individual souls;CC 8480 - CC 8500
129;Origin and destiny of individual souls;BF 8050
130;Parapsychology and occultism;CP 9400
130;Parapsychology and occultism;BE 9130
130;Parapsychology and occultism;BM 9440
130;Parapsychology and occultism;BM 9460
130.3;Occultism--dictionaries, ;CN 1500
130.92;Occultists, . . .;BM 9440
131;Parapsychological and occult methods for achieving well-being, happiness, success;CU 8580
131;Parapsychological and occult methods for achieving well-being, happiness, success;CP 9400
131;Parapsychological and occult methods for achieving well-being, happiness, success;CC 6600
133;Specific topics in parapsychology and occultism;CP 9400
133;Specific topics in parapsychology and occultism;CP 9500
133.1;Apparitions;BM 9440
133.12;Haunted places;BM 9440
133.122;Specific types of haunted places;BM 9440
133.14;Specific kinds of apparitions;BM 8420
133.142;Poltergeists;LC 33000 - LC 33730
133.142;Poltergeists;BE 2395
133.2;Parapsychological and occult aspects of specific things;CC 6600
133.2;Parapsychological and occult aspects of specific things;CZ 1000
