sourcenotation;targetnotation
0;A
1;AK 10000 - AK 53900
2;AN
2;AN 14000 - AN 49600
3; SA 1013
3; ST 150 - ST 199
3; ST 130 - ST 140
3; ST 200 - ST 207
3; ST 270 - ST 271
3; ST 301
3; ST 302   
3; QH 720 - QH 740
3; ZQ 
3; ZN 6020
4;SQ - SU
4;ZI 3100
4;QH 500
4;WC 7700
5;ZH 3470
5;ZI 3100
5;ST 230 - ST 285
5;ST 300 - ST 308
5;ST 320 - ST 690
5;QH 500 
6;SN 400
6;ST 230
6;ST 274
10;AA
10;AN 10000 - AN 12600
11;AA
12;AC 76000 - AC 79990
12;AD 11000 - AD 52999
14;AC 50000 - AC 50990
14;AC 51000 - AC 51990
14;AC 52000 - AC 52990
15;AD 53000 - AD 99500
15;AN 14600
15;AN 23920 - AN 23925
16;AN 34000 - AN 35999
16;AC 10000
17;AN 14000 - AN 14950
18;AC 40000 - AC 49990
18;AM 44000
19;AC 30110 - AC 30688
20;AN
21;AN 66000 - AN 66900
22;AN 70000 - AN 70800
23;AN 54000
25;AN 70000 - AN 70800
26;AN 67000 - AN 69900
27;AN 67000
28; AN 76000 - AN 77600
30;AE 11000 - AE 48676
31;AE 16000
32;AE 16000
33;AE 18000
34;AE 20000
34;AE AE 22000
35;AE 24000
35;AE 25000
35;AE 28000
36;AE 21000
36;AE 23000
37;AE 30000 - AE 39000
38;AE 14000
38;AE 13000
38;AE 15000
38;AE 43000
39;AE 47000
39;AE 48504 - AE 48676
50;AB 46000 - AB 46990
51;AB 46810
52;AB 46290
52;AB 46300
52;AB 46310
53;AB 46070
54;AB 46350
54;AB 46320
55;AB 46390
55;AB 46362
55;AB 46395
55;AB 46397
55;AB 46391
55;AB 46396
55;AB 46394
56;AB 46370
56;AB 46380
57;AB 46478
58;AB 46222
58;AB 46230
58;AB 46260
58;AB 46260
59;AB 46000
60;AK 80000 - AK 89990
60;AE 75000 - AE 75990
61;AE 75810
62;AE 75300
63;AE 75070
64;AE 75350
64;AE 75359
65;AE 75390
66;AE 75366
67;AE 75410
68;AE 75600
68;AE 75700
68;AE 75800
68;AE 75000
69;AK 80000 - AK 89990
70;AP
71;AP 19810
72;AP 19300
73;AP 19070
74;AP 19350
74;AP 19359
75;AP 19390
75;AP 19397
75;AP 19398
75;AP 19399
76;AP 19366
77;AP 19410
78;AP 19222
78;AP 19230
78;AP 19250
78;AP 19260
78;AP 19270
79;AP 19000
80;AB 46000 - AB 46990
81;AB 46810
82;AB 46300
83;AB 46070
84;AB 46350
84;AB 46359
85;AB 46390
85;AB 46460
86;AB 46366
87;AB 46478
88;AB 46220
89;AB 46000
89;AB 46010
89;AB 46040
90;AM
91;AM 4000 - AM 97400
92;AN 14000 - AN 49600
93;AN 23700
94;AN 14000 - AN 49600
95;AN 29100 - AN 29600
96;AN 34350
97;AN 14000 - AN 49600
98;AN 49600
99;AN 19000 - AN 19200
100;CA - CK
100;CL - CZ
100;CP 9400
100;BE 9130
100;BF
100;BM 9440
100;BM 9460
100;BQ 6093
101;CC
102;CB 5100 - CB 5150
103;CB 3500 - CB 4450
105;CA 1000
106;CB 4500 - CB 4900
107;CC 1100
108;CC
109;CD - CK
110;CC 5800 - CC 6020
111;CC 5800 - CC 6020
113;BE 2400 - BE 2490
113;LC 3200
113;CC 6100 - CC 6350
114;CC 6320
114;UB 7500
115;CC 6320
115;UB 7500
116;CC 6320
117;CC 6900
118;CC 6400 - CC 6600
119;CC
120;CC 4000 - CC 4500
121;CC 4400
122;CC 4500
123;UB 8000
124;CC 5800 - CC 6020
124;CC 7250
126;CC 5300 - CC 5680
126;CC 6600
126;CC 8500
126;CC 4400
127;CC 6400 - CC 6600
127;CU 2000
128;CC 6400 - CC 6600
128;ER 610 
129;CC 5300 - CC 5680
129;BE 2460
129;BH 8290
129;CC 2500
129;CC 6020
130;CP 9400
130;BM 9440
130;BM 9460
130;BM 9450
130;BE 9130
131;CP 9400
131;BE 9110
131;BM 9440
133;CP 9500
135;CP 9000
137;CS 4500
138;CR 3000
138;CR 4000
138;CR 7000
138;CV 3000
138;BN 4430
138;CS 5500
138;YH 2500 - YH 2599
138;YH 7500 - YH 7599
139;CZ 1300 - CZ 1390
140;BG 2540
140;CC
140;CD 1100 - CI 8000
140;MC
141;CC 7910
141;CC 7900
141;CC 7920
141;CC 7950
142;BG 2390
142;CC 2000 - CC 2600
142;CC 3200
143;CI 5500 - CI 5517
144;BO 5325
144;CC 6600
145;CG 1200
145;CC 5500
146;CC 6100 - CC 6350
147;BE 2330
147;BG 3500
147;BE 3740
147;CC 6100 - CC 6350
148;BH 5000
148;MC 6300
148;CC 7920
148;BL 4760 
149;CC 8000 - CC 8300
149;CC 8400
149;CC 8480 - CC 8500
149;BF 1530
149;CC 8600
149;CC 8700
149;CC 6700 - CC 6900
149;BK 2800                                  
150;CL-CZ
152;CP 2500
152;CP 3000
152;CP 3100
152;CP 3200
153;CQ
153;CP 4100
153;CQ
153;CP 4100 
154;CZ 1000
154;CP 2000
154;CP 9000
154;CU 2000
155;CQ 6000
155;CQ 7000 - CQ 7400
155;CQ 5500
155;CR
156;CZ 8000
158;CW
160;CC 2500
161;CC 3300
162;CC 2600
162;ER 705
162;BF 8400
165;CC 2500
166;SK 130
166;CC 2000 - CC 2600
167;CC 3200
167;CM
167;BG 2900
168;MR 1050
168;CC 2500
168;CC 4500
168;CV 3500
168;PI 3020
169;CC 4500
169;CP 4000
169;BG 2820
170;BK 1580
170;CC 7000 - CC 7267
170;PI 3580
170;VB 2100
170;WF 9710
170;XC 2800
171;CC 7000 - CC 7267
172;BL 7320
172;BL 7440
172;MD 6300
173;CC 7700
173;CV 8000
174;CC 7260 - CC 7267
175;CC 7260 - CC 7267
175;CC 8400
175;CV 
176;CC 7264
176;XC 2800
177;CV
178;CC 7700
178;CV 8000
179;CC 7200
180;CC 8000 - CC 8300
180;NB 3000 - NB 4899
180;CD 1100 - CI 8000
180;CE 1050 - CE 4977
180;CI 8500 - CI 9599
180;CI 9700 - CI 9750
181;CI 8500 - CI 9599
181;CI 9700 - CI 9750
182;CD 1600 - CD 3697
183;CD 3700 - CD 7467
184;CD 3050 - CD 3697
185;CD 2050 - CD 2067
186;CD 3845 - CD 3850
186;CD 3945 - CD 3950
187;CD 5250 - CD 5267
188;CD 3795 - CD 3800
189;CE 1050 - CE 4977
189;CD 1250
190;CI 1000 - CI 8300
190;CG - CH
191;CH 4300 - CH 6957
192;CH 4300 - CH 6957
192;CI 6300 - CI 6831
193;CG 1250 - CG 8299
193;CI 1180 - CI 6831
194;CH 1050 - CH 4257
194;CI 5300 - CI 6294
195;CH 7000 - CH 9057
195;CI 7050 - CI 7321
196;CI 7050 - CI 7321
197;CI 7350 - CI 7799
198;CI 8200 - CI 8300
199;CI 7800 - CI 8029
200;B
201;BB
202;BG
202;BL
202;BH
203;BE 8650 - BE 8659
203;BE 2500 - BE 2650
203;BD 1250 - BD 1251
203;BC 6920
204;CC 8500
204;BQ 6620
204;LC 30000 - LC 30695
204;BQ 6500
204;BE 2060
204;BE 2670
205;BE 2220
206;BE 2240
206;BE 2700 - BE 2780
206;BE 8570
206;BC 6920
206;LC 4100 - LC 41695
206;LC 42000
207;BE 2890
207;BE 8580
207;BU 1500 - BU 1560
207;BU 1850
207;BU 2100 - BU 3300
207;DP 6000  
208;BC 7500 - BC 7940
208;BB 1850 - BB 9000
209;BG 9600 - BG 9720
209;MS 6575
209;BE 3300 - BE 3350
209;BE 2830
209;BE 9200 - BE 9250
210;BF 8800
210;BF 1530
210;BE 2030
210;BF 8300
210;CC 8480 - CC 8500
211;BE 2310
211;BE 2320
211;BE 2490
211;LC 35000 - LC 35695
212;BE 2310
212;LC 35000 - LC 35695
213;BE 2400 - BE 2490
213;BC 6840
213;BH 5000 - BH 5300
213;BC 7415
214;BE 2310
214;BH 4240
214;BH 4260
215;BG 2500
215;BG 3540 - BG 4210
215;BH 3210
215;BE 2210
218;BF 8800
218;BC 7420
218;BG 4750 - BG 6640
218;BE 2030
218;BN 4400
220;BC 
221;BC 1210
222;BC 1400 - 2079
223;BC 1400 - 2079
224;BC 1860 - BC 2060
225;BC 2200 - BC 2209
226;BC 2200 - BC 2499
227;BC 2700
227;BC 7200
227;BC 7260
228;BC 7365 - BC 7390
229;BC 3000 - BC 3261
230;BD 1400 - BD 1480
230;BH 3700 - BH 3730
231;BC 7405
231;BH 4000 - BH 4500
232;BN 5310
232;BC 7000 - BC 7200
233;BN 4400 - BN 4440
233;BE 2400 - BE 2490
234;BC 6880
234;BC 7430
234;BE 2460
234;BN 5600
234;BN 7000 - BN 7500
234;BG 6560
234;BM 8120
234;BM 8720
235;BO 1830
235;LH 83500 - LH 83600
235;LH 83600
236;BN 9000 - BN 9300
236;BW 50750
238;BU 1330
238;BU 1840
238;BH 7400 - BH 7450
238;BQ 7100
239;BG 9010 - BG 9014
239;BG 9015 - BG 9019
240;BK 1460 - BK 1470
240;BM 8240
240;BM 6500 - BM 6710
241;BW 60000 - BW 60700
242;BS 1335
242;BK 3200
242;BQ 6650
242;BM 9120
242;BM 1605
243;BQ 4000 - BQ 4980
243;BM 1500 - BM 1810
246;BS 4630
246;BB 1620
247;BS 4600 - BS 4630
247;BO 9550 - BO 9585
247;BO 9600 - BO 9625
247;BO 9650 - BO 9730
247;BO 1450
247;BO 1460
247;BO 1470
248;BM
249;BU 1720
249;BS 7195
249;BU 3750
249;BL 5260
249;BL 4040
250;BG 6580
250;BG 7765
250;BQ 1500 - BQ 1820
251;BQ 3000 - BQ 3830
252;BQ 3700 - BQ 3730
252;BQ 3750 - BQ 3790
252;BQ 4000 - BQ 4980
253;BQ 1500 - BQ 1820
253;BT 
254;BR 4900 - BR 6690
254;BR 4065
255;BE 2760
255;BO 1650
255;BO 1760
259;BK 6750
259;BT 2000 - BT 4000
259;BQ 5630
259;BU 1430
259;BU 3200
259;BL 3420
259;BU 2300
260;BT 7000 - BT 7530
260;BQ 9100
260;BW 62800
