sourcenotation;sourcelabel;targetnotation
1;Philosophy & psychology;CA-CK
1;;CL-CZ
10;Philosophy;CL-CZ
101;Theory of philosophy;CC 3000 - CC 3300
101;;CC 3400 - CC 3900
101;;CC 4000 - CC 4500
102;Miscellany of philosophy;CC 5300 - CC 5680
102;;CC 1000
102;;CC 1100
103;Dictionaries, encyclopedias, concordances of philosophy;CB 3500 - CB
03;;BF 1000 - BF 1310
104;[Unassigned]
105;Serial publications of philosophy;CA 1000
105;;CB 1200 - CB 1600
105;;CB 4050
105;;BF 1649a
105;;BF 1650 - BF 1850
105;;BF 1900 - BF 1925
105;;BF 1950
106;Organizations and management of philosophy;CB 4500 - CB 4900
107;Education, research, related topics of philosophy;BF 1350
107;;BF 1360
107;;CC 3800
108;Groups of people;
109;History and collected biography;BF 1310
109;;BF 1400 - BF 1950
109.2;Collected biography
109.22;Collected biography
110;Metaphysics;BF 8450
110;;CC 5800 - CC 6020
111;Ontology;CC 5800 - CC 6020
111;;BF 8650
111.1;Existence, essence, substance, accidents;CC 6020
111.1;;BF 8280
111.2;Universals;CC 5800
111.5;Nonbeing, nothingness;CC 5800 - CC 6020
111.6;Finite and infinite;CC 5800 - CC 6020
111.6;;BF 8650
111.8;Properties of being;CC 6020
111.8;;BF 8280
111.82;Unity;
111.82;111/.82
111.84;Good and evil;CC 5680
111.84;;CC 7000 - CC 7267
111.84;;BK 2015
111.84;;BK 2155
111.85;Beauty;BF 8000
111.85;;CC 6700 - CC 6900
112;[Unassigned]
113;Cosmology (Philosophy of nature);CC 6100 - CC 6350
113.8;Philosophy of life;CI 1110
114;Space;CC 6320
115;Time;CC 6320
116;Change;CC 8260
116;;CC 6300
116;;CC 6320
116;;BL 3500 - BL 3530
117;Structure;CC 6300
118;Force and energy;CC 6100 - CC 6350
119;Number and quantity;CC 2600
120;Epistemology, causation, humankind;CC 5300 - CC 5680
121;Epistemology (Theory of knowledge);CC 4000 - CC 4500
121;;BF 8150
121.2;Possibility and limits of knowledge;CC 4400
121.2;;CC 6000
121.2;;BF 8150
121.3;Origin, sources, means of knowledge;CC 4000
121.3;;CC 5300
121.34;Perception;CC 6600
121.34;;CC 6960
121.34;;CC 4400
121.34;;CC 5500
121.34;CP 2000
121.35;Sensation;CC 6900
121.35;;CC 4400
121.35;;CP 2000
121.35;;CC 5500
121.4;Structure of knowledge;CC 5500
121.4;;TB 6200
