fromNotation,toNotation
000,050
001,050
100,050
110,010
120,920
125,000
130,070
135,020
140,060
150,370
160,333.7
170,890
180,290
200,100
210,200
220,290
230,230
232,220
234,230
236,230
238,230
260,150
280,370
300,900
305,730
305,920
310,930
320,930
325,940
330,940
335,940
340,914.3
340,943
341,914.3
341,943
342,914.3
342,943
343,914.3
343,943
360,910
360,940
370,910
370,940
390,390
400,400
405,800
410,820
420,830
430,870
440,840
440,850
440,860
450,890
460,890
470,700
480,780
490,792
500,340
510,340
520,340
530,340
540,340
550,340
560,340
570,340
580,340
600,300
600,330
601,310
605,300
605,330
615,360
620,300
630,330
631,330
640,330
640,360
650,330
655,380
656,330
658,330
660,650
670,630
670,640
680,320
682,320
695,320
700,500
701,500
705,500
710,520
720,570
725,580
730,590
740,540
760,550
761,550
764,550
766,910
770,530
790,510
795,004
797,000
800,610
805,610
860,610
870,610
880,630
890,610
900,600
905,600
910,620
920,620
930,380
935,620
940,660
945,620
945,660
950,670
960,690
970,620
980,793
980,796
981,790
982,360
984,360
986,130
988,K
988,741.5
